qid,original_id,topic,trap_type,answer_letter,answer_text
18,22.1,General,pattern_recognition,C,"History of deep vein thrombosis A prior episode of deep vein thrombosis significantly increases the risk of recurrence. Multiple coexisting factors (obesity, travel, sedentary work, medications) may contribute, but past DVT carries the greatest predictive value. Prompt anticoagulation is the cornerstone of treatment in patients with DVT."
19,23.1,General,pattern_recognition,C,"Lateral collateral ligament injury Bottom line: LCL injury occurs after a varus stress to the knee, such as a blow to the medial aspect, often during sports trauma. Exam shows excessive lateral motion of the tibia relative to the femur when pressure is applied inward on the lateral ankle and outward on the medial knee (varus test)."
20,24.1,General,pattern_recognition,B,Contracture of the capital femoral epiphysis
21,25.1,General,pattern_recognition,B,"Costochondritis non-localized. The key differentiator here is palpation: pericarditis pain is not reproducible with palpation. This patient has no viral prodrome, no ECG abnormalities, and a localized, reproducible pain pattern. Therefore, pericarditis is ruled out."
22,26.1,General,pattern_recognition,E,"Semimembranosus tendinopathy Anatom Musculoskeletal (Bone/joint injuries and Non y infections) e Subject System Topic A 42-year-old woman comes to the clinic with concerns about knee pain and stiffness that have developed gradually over the past 6 weeks. She describes aching in both knees, especially after a long day of teaching, and notes that the pain is worse when going up or down stairs. The stiffness tends to occur after prolonged sitting and improves somewhat with movement. She reports no redness, warmth, or"
23,27.1,General,pattern_recognition,C,Smoking cessation Subject System To
24,29.1,General,pattern_recognition,C,Development of suppurative tenosynovitis
25,30.1,General,pattern_recognition,B,"Pectoralis minor described in this vignette. There is no evidence of posterior arm pain, extension weakness, or neurologic compromise in the radial nerve distribution. The Gerber lift-off test does not assess triceps function."
26,31.1,General,pattern_recognition,C,Lipoma Bottom line:
27,32.1,General,pattern_recognition,E,"Trigger finger Trigger finger. Bottom line: Dupuytren contracture is a fibroproliferative disorder of the palmar fascia causing fixed flexion contractures with palpable cords, most often in the ring and little fingers, strongly associated with alcoholism, diabetes, epilepsy, and Northern European ancestry. Pathology Musculoskeletal (Structural disorders) None Subject System Topic"
28,33.1,General,pattern_recognition,B,Deficient osteoblast recruitment and activation
29,34.1,General,pattern_recognition,A,Autoimmune synovial inflammation osteophytes and eburnation are absent in pannus-mediated arthritis.
30,35.1,General,pattern_recognition,B,"Lateral collateral ligament injury direct trauma—is not characteristic of PCL injuries. The positive Lachman test specifically suggests anterior cruciate laxity, making PCL injury an incorrect choice here."
31,36.1,General,pattern_recognition,A,Birth trauma Patholog Musculoskeletal (Bone/joint injuries and Non
32,39.1,General,pattern_recognition,B,Langerhans cell histiocytosis
33,40.1,General,pattern_recognition,A,"Anterior cruciate ligament Choice D: The popliteus tendon originates from the posterior tibia and inserts onto the lateral femoral condyle and lateral meniscus; it “unlocks” the knee by internally rotating the tibia (or externally rotating the femur) from full extension and stabilizes the posterolateral corner. Popliteus pathology presents with posterolateral knee pain, pain on downhill running, and tenderness deep in the popliteal fossa; injuries often coexist with cruciate or PLC lesions after rotational trauma. This patient’s pain is focal along the lateral collateral path, provoked by varus stress rather than rotational tests, and there is no traumatic trigger—features that favor FCL strain over popliteus tendinopathy."
34,41.1,General,pattern_recognition,C,"Infraspinatus injury causing isolated external rotation deficit The teres minor, innervated by the axillary nerve, performs external rotation and adduction of the shoulder. If a patient has deficits in both external rotation and adduction, suspect teres minor, not infraspinatus."
35,42.1,General,pattern_recognition,E,"Ulnar nerve A 44-year-old woman is referred to neurology for evaluation of persistent left posterior thigh weakness. Six months ago, she underwent surgery for a large posterior thigh liposarcoma that required careful dissection near the sciatic nerve."
36,43.1,General,pattern_recognition,B,"Endomysial inflammation with necrotic fibers Bottom line: Denervation followed by reinnervation leads to fiber type grouping, where same-type muscle fibers cluster together. This is a hallmark of chronic neurogenic injury and recovery, not seen in primary myopathies. EMG and histology findings together can help differentiate neurogenic from myopathic processes."
37,44.1,General,pattern_recognition,C,4
38,45.1,General,pattern_recognition,D,
39,46.1,General,pattern_recognition,B,"B Choice H: The pisiform is a sesamoid bone located anterior to the triquetrum and is palpable on the ulnar side of the wrist. It is rarely fractured and typically causes pain over the hypothenar eminence. This patient has no hypothenar or ulnar-sided symptoms, and the described mechanism (FOOSH) is less likely to injure the pisiform. In addition, the"
40,47.1,General,pattern_recognition,B,Cervical spondylosis Cervical spondylosis.
41,51.1,General,pattern_recognition,E,"Slipped capital femoral epiphysis Wrong answer explanations: Choice A: Anterior dislocations are much less common than posterior and typically result from trauma involving abduction and external rotation forces on the hip. The limb in such cases appears externally rotated and slightly flexed, often without the significant shortening seen in posterior dislocations. In this case, the physical exam shows internal rotation and shortening, which contradicts the expected findings for anterior dislocation. Although the injury mechanism is traumatic, the leg position is not compatible with anterior dislocation. Choice B: Femoral neck fractures are common in older adults due to osteoporosis but may also occur in younger patients after high-energy trauma. They typically present with a shortened and externally rotated leg. However, this patient's age and mechanism of injury make posterior dislocation more likely. Additionally, femoral neck fractures usually do not cause the marked internal rotation seen here. The absence of bony deformity or crepitus further argues against this diagnosis. Choice C: Intertrochanteric fractures also tend to produce shortened and externally rotated legs. They are typically seen in elderly patients and result from falls, not high-velocity trauma. The presence of internal rotation here contradicts this possibility. Moreover, intertrochanteric fractures would likely show local tenderness, swelling, or crepitus, none of which are described. The clinical scenario strongly favors a dislocation rather than a fracture. Choice E: SCFE occurs in adolescents, typically obese males aged 10–16, due to shear stress at the growth plate. It causes chronic hip or knee pain and limp, rather than acute post-traumatic symptoms. Physical exam usually reveals external rotation of the affected leg, not internal. The age of this patient (27 years) and the mechanism (MVA) do not fit with SCFE. This diagnosis can be ruled out based on demographics and presentation alone. Bottom line: Posterior hip dislocation is the most common type and presents with a shortened, internally rotated leg. Often occurs in dashboard trauma scenarios, requiring prompt reduction to prevent avascular necrosis. USMLE tests leg position as a key diagnostic clue to distinguish dislocations and fractures. Anatom Musculoskeletal (Bone/joint injuries and Non y infections) e"
42,52.1,General,pattern_recognition,C,Medial collateral ligament tear Bottom line:
43,53.1,General,pattern_recognition,D,Scaphoid fracture
44,54.1,General,pattern_recognition,B,"Cellulitis movement limitation, making septic arthritis very unlikely. The swelling is localized superficially, and there is no indication of intra-articular infection. Septic arthritis should not be diagnosed in the absence of joint signs and systemic illness."
45,55.1,General,pattern_recognition,E,"Systemic inflammatory condition with asymmetric joint involvement Choice A: Peripheral nerve entrapment, such as carpal tunnel syndrome, involves compression of the median nerve at the carpal tunnel and typically presents with sensory symptoms—not isolated pain—such as numbness, tingling, or burning in the thumb, index, middle, and radial half of the ring finger. Patients often report nocturnal paresthesias, hand clumsiness, and sometimes thenar muscle atrophy. This patient's symptoms are purely mechanical, with no sensory disturbance, motor weakness, or nocturnal worsening. Moreover, the pain is localized to the radial styloid, not the volar aspect of the wrist, and is provoked by a positive Finkelstein maneuver, which implicates tendon sheath inflammation rather than nerve entrapment. Choice C: Inflammation of the wrist joint capsule—whether due to synovitis, arthritis, or joint effusion—typically causes diffuse wrist pain, visible swelling, and limited passive range of motion, especially in cases of inflammatory arthritis. This patient, however, has no swelling, normal passive ROM, and pain that is sharply elicited by a specific maneuver involving the thumb and wrist (Finkelstein test). The pain is also focal over the first dorsal compartment, rather than generalized to the radiocarpal joint. Additionally, there is no morning stiffness or other signs suggesting joint inflammation. These features argue strongly against radiocarpal synovitis or capsulitis as the cause. Choice D: Overuse injuries involving flexor tendons typically affect the volar (palmar) side of the wrist or medial elbow (e.g., medial epicondylitis) and are provoked by wrist flexion, forearm pronation, or gripping activities. This patient’s pain is clearly located on the radial (lateral) aspect of the wrist and is exacerbated by thumb flexion and ulnar deviation, not flexion of the wrist or forearm muscles. Furthermore, the first dorsal compartment contains extensor tendons, not flexors, and the Finkelstein test targets this specific structure. This pattern of findings does not support a flexor-based overuse injury and makes this choice incorrect. Choice E: Although postpartum autoimmune flares can occur, this patient's symptoms are isolated, mechanical, and not migratory or systemic. Inflammatory conditions like rheumatoid arthritis or seronegative spondyloarthropathies typically present with multiple joint involvement, morning stiffness lasting >30–60 minutes, fatigue, or other systemic signs such as rash, weight loss, or uveitis. There are no constitutional symptoms, no bilateral or symmetric joint complaints, and no signs of synovitis or erosive disease. Her pain is provoked by a biomechanical maneuver and is well-localized, which is not typical for systemic inflammatory arthritides. Bottom line: De Quervain tenosynovitis is caused by inflammation of the tendon sheaths of the first dorsal compartment, especially in postpartum women. It presents with radial wrist pain exacerbated by Finkelstein’s maneuver. Pathology Musculoskeletal (Miscellaneous) None Subject System Topic"
46,56.1,General,pattern_recognition,A,Calcium pyrophosphate crystal deposits
47,57.1,General,pattern_recognition,C,Metastatic prostate cancer
48,58.1,General,pattern_recognition,B,Granulocytes
49,59.1,General,pattern_recognition,E,Transient synovitis Pathology Musculoskeletal (Metabolic bone disorders) None Subject System Topic
50,60.1,General,pattern_recognition,D,"Palmar aponeurosis Bottom line: The transverse carpal ligament, aka flexor retinaculum, is the roof of the carpal tunnel and is the compressing structure in CTS."
51,61.1,General,pattern_recognition,D,Increased vascular permeability Patholog Musculoskeletal (Arthritis and Non y spondyloarthropathies) e
52,62.1,General,pattern_recognition,A,Osteoarthritis y spondyloarthropathies) e Subject System Topic
53,63.1,General,pattern_recognition,C,Axillary nerve injury; surgical neck of humerus fracture Axillary nerve injury causes decreased sensation over the lateral deltoid and shoulder abduction. It can be caused by anterior shoulder dislocation or surgical neck of humerus fracture.
54,64.1,General,pattern_recognition,C,"Medial epicondylitis over the medial elbow, nor is it exacerbated by resisted wrist flexion. The absence of motor weakness or involvement of the radial nerve distribution makes this diagnosis highly unlikely. The patient's symptom location and provocative maneuver both point away from this option."
55,65.1,General,pattern_recognition,C,"Lateral meniscus tear Lateral meniscus tears present with lateral knee pain, often following a twisting injury, and produce mechanical symptoms like locking or catching. Exam may reveal joint line tenderness and pain/clicking with internal rotation and extension of the knee. Diagnosis is clinical, confirmed by MRI, and managed conservatively or with arthroscopy based on"
56,66.1,General,pattern_recognition,C,Infraspinatus dysfunction due to suprascapular nerve injury Bottom line:
57,67.1,General,pattern_recognition,D,"Rectus sheath hematoma Incisional hernias occur at the site of any prior abdominal incision, regardless of how long ago the surgery took place. They present as reducible masses that increase with intra-abdominal pressure and align anatomically with the surgical scar."
58,68.1,General,pattern_recognition,B,"Gastroschisis reducible bulge located superior to the umbilicus supports a true herniation through the fascia, not simple muscle separation. Rectus diastasis does not fit the localized findings described in this case."
59,69.1,General,pattern_recognition,C,Radial nerve
60,70.1,General,pattern_recognition,A,"Chondromalacia patellae Choice D: Osteochondritis dissecans (OCD) refers to separation of a segment of subchondral bone with its overlying cartilage from the articular surface, typically in the lateral aspect of the medial femoral condyle. It often occurs in adolescents and presents with chronic knee pain, swelling, and in later stages, mechanical symptoms like locking or"
61,72.1,General,pattern_recognition,C,Subacromial bursitis High Yield USMLE Audio Answer:
62,73.1,General,pattern_recognition,D,D Scaphoid fractures are the most common carpal fractures and often present with anatomical snuffbox tenderness following a FOOSH injury. Initial radiographs may be normal; thumb-spica immobilization and follow-up imaging are essential to prevent avascular necrosis.
63,74.1,General,pattern_recognition,D,Teres minor Teres minor is the predominant lateral rotator of the arm when it’s fully abducted.
64,75.1,General,pattern_recognition,D,Supination of the forearm while flexing the elbow
65,76.1,General,pattern_recognition,B,"Bicipital tendinopathy causing anterior shoulder pain with initiating abduction and a positive empty-can test—align more closely with supraspinatus involvement. Infraspinatus dysfunction would be tested with resisted external rotation, which was not indicated here."
66,77.1,General,pattern_recognition,C,"Lambert-Eaton myasthenic syndrome Inclusion body myositis is a slowly progressive inflammatory myopathy seen in patients over 50, often with both proximal and distal weakness. Basophilic rimmed vacuoles on biopsy are the diagnostic hallmark. It is often resistant to therapy, distinguishing it from other inflammatory myopathies like polymyositis or dermatomyositis."
67,78.1,General,pattern_recognition,A,"Iliotibial band syndrome Choice E: Pes anserine bursitis presents with inferomedial knee pain over the proximal tibia, just below the joint line. It is more common in overweight adults or patients with valgus alignment and is not associated with high-impact sports in adolescents. The patient in this vignette has anterior knee pain localized beneath the patella, which is"
68,79.1,General,pattern_recognition,B,Adduction
69,80.1,General,pattern_recognition,C,Posterior elbow dislocation Bottom line:
