Front	Back	Tags
A 42-year-old woman presents to the clinic with difficulty moving her right index finger after an accident at home earlier in the morning. She had been rearranging storage boxes on a high shelf in her garage when a plastic container unexpectedly fell. She reflexively reached out with her right hand to catch it, but the corner of the box struck the tip of her outstretched index finger with force. She felt a sharp pain immediately and has since been unable to use the fingertip normally. She denies numbness, tingling, or pain in the other fingers. On examination, the right hand appears normal with no swelling or bruising. There is no tenderness along the metacarpals or carpal bones. The index finger has full passive range of motion, and she can extend it fully. However, when asked to actively bend the fingertip of the index finger, she is unable to flex the distal interphalangeal (DIP) joint, while proximal interphalangeal and metacarpophalangeal motion remains intact. The rest of the hand functions normally. Which of the following tendons is most likely injured in this patient?	FDP is the only tendon that flexes the DIP joint; loss of DIP flexion points to FDP injury. FDS flexes the PIP joint; if PIP flexion is intact, FDS is preserved. This case demonstrates classic tendon anatomy tested on USMLE, with presentation and localization guiding the diagnosis.<br><br>Correct answer letter: C	msk::bone_tumors_metabolic
A 9-year-old boy is brought to the emergency department after falling from a tree onto his outstretched right hand. He reports severe pain in the elbow and forearm, along with swelling that developed rapidly after the fall. He has difficulty moving his fingers due to pain. There is no obvious deformity of the forearm or hand, but the elbow appears swollen and tender. Passive extension of the fingers worsens his forearm pain. Radial pulse on the injured side is faint compared to the opposite arm. The fingers are warm but capillary refill is delayed. Sensory testing shows intact sensation over the thenar eminence and dorsal thumb. Radiographs of the elbow are ordered and demonstrate a displaced fracture. Injury to which of the following anatomic locations is most likely responsible for this patient’s vascular compromise?	A supracondylar fracture of the humerus, most often from a fall on an outstretched hand in children, can injure the brachial artery and median nerve as they pass anterior to the distal humerus. Vascular injury leads to diminished radial pulse, prolonged capillary refill, and risk of forearm compartment syndrome. 13.1 A.Breech presentation at birth B.High BMI C.History of asthma treated with corticosteroids D.Learning disability E.Sedentary lifestyle AnatomySubjectMusculoskeletal (Bone/joint injuries andinfections)SystemNoneTopic 14.1 A.Achilles tendinopathy B.Calcaneal stress fracture C.Plantar fasciitis D.Retrocalcaneal bursitis E.Tarsal tunnel syndrome AnatomySubjectMusculoskeletal (Miscellaneous)SystemNoneTopic<br><br>Correct answer letter: D	msk::elbow
A 13-year-old boy is brought to the clinic due to persistent right knee pain that has progressively worsened over the past month. He says the pain began after he tripped during basketball practice, but there was no fall or direct trauma. Since then, he has been avoiding sports and complains of intermittent pain that radiates to the thigh. His mother reports that he has been less active recently and appears to be limping, especially at the end of the day. Past medical history is notable for childhood asthma, managed with inhaled corticosteroids, and a learning disability for which he attends special classes. He was born at term by cesarean section due to breech presentation. His diet consists largely of processed foods, and he spends several hours daily playing video games. On examination, his BMI is at the 98th percentile. He walks with an antalgic gait, and there is limited internal rotation of the right hip. Knee examination is unremarkable, and there is no joint effusion or erythema. Passive flexion of the hip elicits discomfort. Neurologic exam is normal. Which of the following is the most significant risk factor for this patient’s condition?	Slipped capital femoral epiphysis (SCFE) typically affects obese adolescent boys and presents with progressive hip or referred knee pain, limited hip motion, and an antalgic gait. The most significant risk factor is a high body mass index (BMI), which increases shear stress across the growth plate. Diagnosis is confirmed by imaging, and the definitive management is urgent surgical stabilization with in situ pinning to prevent further slippage and complications such as avascular necrosis.<br><br>Correct answer letter: B	msk::hip
A 47-year-old woman comes to the outpatient clinic due to pain in her right heel that has been bothering her for the past two months. She says the pain is most noticeable when she first gets out of bed in the morning. It feels like a sharp pulling sensation along the bottom of her heel, which sometimes radiates forward along the arch of her foot. After walking for a few minutes, the pain lessens, and she is generally able to go about her day with only mild discomfort. However, the pain often returns if she has been sitting or inactive for long periods and then stands up again. She has not had any recent trauma or systemic symptoms. She works in retail and spends most of her day standing or walking on hard floors. Her BMI is 31 kg/m². On physical examination, there is point tenderness at the medial calcaneal tuberosity of the right foot. There is no swelling, erythema, or warmth. Which of the following is the most likely diagnosis?	Plantar fasciitis causes heel pain that is worst with the first steps in the morning and improves with continued walking. Exam shows point tenderness at the medial calcaneal tuberosity with no inflammation or neurologic findings. Diagnosis is clinical, and treatment is conservative with stretching, footwear modification, and activity modification. 15.1 A.Developmental dysplasia of the hipB.Legg-Calvé-Perthes diseaseC.Osteomyelitis of the femurD.Sickle cell avascular necrosisE.Slipped capital femoral epiphysis PathologySubjectMusculoskeletal (Bone/joint injuries andinfections)SystemNoneTopic 16.1 A.Cartilage fibrillation with pannus formation B.Chondrocyte necrosis with calcium pyrophosphate deposition C.Loss of proteoglycan matrix with uric acid crystal deposition D.Subarticular bone plate exposure and hyperactive bone formation E.Synovial hyperplasia with lymphoid follicle formation AnatomySubjectMusculoskeletal (Arthritis andspondyloarthropathies)SystemNoneTopi<br><br>Correct answer letter: C	msk::hip
A 13-year-old boy presents to the clinic with a painful limp that has worsened over the past three weeks. He reports pain localized to his left groin and knee, worsened with activity. His BMI is 23 kg/m², and he is otherwise healthy with no history of trauma. Physical examination reveals limited internal rotation and abduction of the left hip. When standing, his left leg appears externally rotated and shorter than the right. Passive range of motion elicits discomfort at the left hip. His x-ray findings are shown below. Which of the following is the most likely diagnosis?	SCFE typically affects adolescents aged 10–13 years and presents with hip or referred knee pain, limp, decreased internal rotation, and external rotation deformity.X-ray shows posterior and inferior displacement of the femoral head (“ice cream slipping off the cone”), and treatment is surgical pinning.<br><br>Correct answer letter: E	msk::hip
A 67-year-old man comes to the clinic because of gradually worsening discomfort in both shoulders and elbows over the past 2 years. The pain is worse in the evenings after his work as a handyman and improves somewhat with rest. He reports mild stiffness in the morning that lasts only a few minutes before improving. He denies fevers, rash, weight loss, or recent infections. There is no history of joint trauma or inflammatory arthritis. His medical history includes controlled hypertension. Examination shows crepitus with passive movement of the shoulders and elbows, without warmth or significant swelling. There is mild limitation in the range of motion due to discomfort. Strength is preserved, and sensation is intact. No nodules or skin lesions are present. Laboratory studies, including ESR and CRP, are within normal limits. The involved joint is most likely to show which of the following?	Osteoarthritis is a wear-and-tear joint disease with cartilage loss, subchondral bone changes, and osteophyte formation. It causes activity-related pain with minimal morning stiffness and normal labs. Diagnosis is clinical with imaging confirmation; treatment is mainly conservative, with surgery for severe cases. 17.1A.Autoimmune pannus formation causing destruction of articular cartilage B.Calcium pyrophosphate crystal deposition within hyaline cartilage C.Chondrocyte-mediated cartilage breakdown and subchondral bone eburnation D.Immune complex deposition with complement activation and neutrophil recruitment E.Synovial seeding by hematogenous bacteria leading to purulent inflammation PathophysiologySubjectMusculoskeletal (Arthritis andspondyloarthropathies)SystemNoneTopic 18.1 A.Anterior cruciate ligament tear B.Iliotibial band syndrome C.Lateral meniscus tear D.Medial collateral ligament injury E.Patellar subluxation AnatomySubjectMusculoskeletal (Bone/joint injuries andinfections)SystemNone<br><br>Correct answer letter: D	msk::shoulder
A 62-year-old woman presents to the clinic with progressively worsening bilateral knee pain that began over three years ago. She describes the pain as dull and aching, most noticeable after walking or prolonged standing. She denies morning stiffness, systemic symptoms, or joint redness. Her past medical history includes obesity and venous stasis. On exam, she has crepitus with passive knee motion and visible bony enlargement of the distal interphalangeal joints. No erythema or warmth is present. Her BMI is 42 kg/m². Synovial fluid aspirated from the right knee is clear with a WBC count of 950/μL and normal glucose levels. A plain radiograph shows asymmetric joint space narrowing and evidence of subchondral sclerosis. Which of the following best describes the underlying pathophysiology of this patient's condition?	Osteoarthritis is a non-inflammatory degenerative joint disease caused by chondrocyte-driven cartilage erosion. The hallmark finding is subchondral eburnation, with joint space narrowing, osteophyte formation, and sclerosis. Synovial fluid in OA is non-inflammatory (WBC < 2,000/μL), helping distinguish it from RA, gout, or septic arthritis.<br><br>Correct answer letter: C	msk::knee
A 23-year-old man comes to the clinic with left knee pain that started during a recreational soccer match two days ago. While attempting to block a shot, another player struck the outside of his planted left knee, causing it to buckle inward. He immediately felt pain in the knee and had to stop playing. Since then, the pain has persisted, especially with turning or lateral movement, but he can bear weight. On physical exam, there is diffuse mild swelling and tenderness of the knee. When inward pressure is applied to the lateral side of the knee while stabilizing the medial ankle, the joint opens more medially than the opposite side. There is no visible deformity, joint locking, or gross instability. Which of the following is the most likely diagnosis?	MCL injury occurs due to valgus stress (lateral-to-medial force) that stretches or tears the medial stabilizing ligament. Physical exam shows excessive medial gapping of the knee under valgus pressure compared to the unaffected side. Treatment depends on severity but is usually conservative with bracing, rest, and physical therapy. 19.1 A.Ganglion cyst B.Giant cell tumor of tendon sheath C.Hemangioma D.Synovial sarcoma E.Tenosynovitis AnatomySubjectMusculoskeletal (Miscellaneous)SystemNoneTopic 20.1 A.Axillary nerveB.Median nerveC.Musculocutaneous nerveD.Radial nerveE.Ulnar nerve AnatomySubjectMusculoskeletal (Normal structure and function of themusculoskeletal system)SystemNoneTopic 21.1 A.Median nerve B.Musculocutaneous nerve C.Radial nerve D.Recurrent branch of median nerve E.Ulnar nerve AnatomySubjectMusculoskeletal (Upper limb nerves)SystemNoneTopic<br><br>Correct answer letter: D	msk::knee
A 27-year-old man presents to the clinic after noticing a bump on the back of his right wrist that he first saw two weeks ago. He works in IT support and spends most of the day typing or using a mouse. The lesion has gradually increased in size, but he denies any associated pain, numbness, weakness, redness, or warmth. He is concerned it may be a tumor. He has no prior history of joint pain, trauma, or systemic illness. He has not tried any medications or therapies. On physical examination, a 2-cm round swelling is observed on the dorsal aspect of the right wrist, as shown in the image below. The mass is soft, non-tender, and mobile under the skin. There is no discoloration or warmth over the area. Wrist range of motion is full and symmetric, and grip strength is preserved. No skin lesions or other joint abnormalities are seen. The patient has no constitutional symptoms. Which of the following is the most likely diagnosis?	Ganglion cysts are the most common soft-tissue masses of the wrist and hand, usually located on the dorsal surface. They are painless, mobile, and often resolve spontaneously, requiring no treatment unless symptomatic.<br><br>Correct answer letter: A	msk::wrist_hand
A 24-year-old man is brought to the emergency department after falling off a motorcycle at high speed. He was wearing a helmet and did not lose consciousness. On examination, he has multiple abrasions and a deep laceration over the posterior mid-arm. He is placed in a sling and reports difficulty extending his wrist. Physical exam reveals wrist and finger extension weakness as well as diminished sensation over the dorsum of the right hand and posterior forearm. Elbow flexion and shoulder abduction are preserved. Reflexes are normal. Which of the following nerves is most likely injured?	Injury to the radial nerve along the mid-humerus causes wrist drop and sensory loss over the posterior arm and dorsum of the hand. The nerve’s location in the spiral groove makes it especially vulnerable in midshaft humeral trauma.<br><br>Correct answer letter: D	msk::shoulder
A 58-year-old man comes to the neurology clinic with several months of worsening weakness in his dominant right hand. He works as a carpenter and has noticed increasing difficulty using his tools, particularly when trying to hold small nails between his fingers or when stabilizing pieces of wood that require hand dexterity. He frequently drops screws or washers, especially when trying to pick them up with his ring and little fingers. Over time, he has also observed a slow but progressive shrinkage of the muscles between his fingers and around the base of his little finger. He initially thought it was due to aging and overuse, but now it is beginning to interfere with his work and daily functioning. He denies pain, trauma, or systemic symptoms but does report intermittent numbness and tingling in the medial hand that worsens with prolonged elbow flexion or when resting his arm on a hard surface. He has a past medical history of poorly controlled type 2 diabetes and hypertension. He does not smoke and drinks socially. He sleeps with his arms bent under his pillow, and he sometimes notices hand numbness in the morning that resolves after a few minutes. At work, he frequently leans his elbows against counters and tool benches. He has tried wearing a wrist splint at night without significant benefit. He has not seen any change in his grip strength while shaking hands or squeezing with his palm but finds tasks requiring finger spreading or pinching between fingers increasingly difficult. He also notes trouble playing guitar, especially forming chords that require abducting and adducting individual fingers. He has no symptoms in his left hand and no known history of neck problems. On physical exam, there is marked wasting of the hypothenar eminence and the first dorsal interosseous muscle on the right. The hand shows mild clawing of the fourth and fifth digits at rest. Strength testing reveals weakness in finger abduction and adduction, most noticeable when asked to spread his fingers against resistance or hold a piece of paper between the fingers. Sensation is reduced over the palmar and dorsal surfaces of the fifth digit and the medial half of the fourth digit. Grip strength is mildly reduced but wrist flexion, elbow strength, and forearm pronation/supination are intact. Tinel sign is positive at the right elbow. The physician explains that the pattern of sensory and motor findings indicates damage to a specific nerve supplying most of the intrinsic hand muscles. Which of the following nerves is primarily responsible for this patient’s deficits?	The ulnar nerve innervates the dorsal and palmar interossei, which control finger abduction and adduction, along with other intrinsic hand muscles. Damage at the elbow or wrist leads to motor deficits, interosseous wasting, clawing of the 4th and 5th digits, and sensory loss over the medial hand. 22.1 A.Air travelB.Family history of malignancyC.History of deep vein thrombosisD.ObesityE.Sedentary lifestyleF.Use of compression stockings PathophysiologySubjectPulmonary & Critical Care (DVT/PE) SystemNone 23.1 A.Anterior cruciate ligament tear B.Iliotibial band syndrome C.Lateral collateral ligament injury D.Lateral meniscus tear E.Medial collateral ligament injury AnatomySubjectMusculoskeletal (Bone/joint injuries andinfections)SystemNoneTopic<br><br>Correct answer letter: E	msk::wrist_hand
A 48-year-old man comes to the emergency department with a swollen,painful left leg. He says this happened once before two years ago and wastold he had a “blood clot.” He recently returned from a 9-hour internationalflight and has gained about 25 lbs over the past year. He works a desk joband spends most of his day sitting. He also takes a daily selective serotoninreuptake inhibitor for depression and has a BMI of 33 kg/m². Vital signs are:temperature 98.7°F (37.1°C), blood pressure 128/84 mmHg, heart rate 92/min,respiratory rate 16/min, and oxygen saturation 98% on room air. Onexamination, his left leg is warm, erythematous, and tender to palpation.Duplex ultrasonography confirms the presence of a deep vein thrombosis.Which of the following factors in this patient’s history most increased his riskfor developing this condition?	A prior episode of deep vein thrombosis significantly increases the risk of recurrence. Multiple coexisting factors (obesity, travel, sedentary work, medications) may contribute, but past DVT carries the greatest predictive value. Prompt anticoagulation is the cornerstone of treatment in patients with DVT.<br><br>Correct answer letter: C	msk::musculoskeletal
A 21-year-old college football player presents to the clinic with right knee pain that started during a game two days ago. He was running toward the sideline when an opposing player collided with the inside of his right knee while his foot was planted. He immediately felt pain along the outside of his knee and had difficulty continuing to play. The pain has persisted since the injury, especially during walking or lateral movement. On physical examination, there is mild swelling and localized tenderness over the lateral aspect of the right knee. When the examiner applies gentle pressure outward on the medial side of the knee while stabilizing the lateral ankle, the right knee exhibits more lateral movement than the left. There is no bruising, deformity, or joint locking. Passive range of motion is preserved. Which of the following is the most likely diagnosis?	LCL injury occurs after a varus stress to the knee, such as a blow to the medial aspect, often during sports trauma. Exam shows excessive lateral motion of the tibia relative to the femur when pressure is applied inward on the lateral ankle and outward on the medial knee (varus test). 24.1 A.Avascular necrosis of the femoral head B.Contracture of the capital femoral epiphysis C.Displacement of the epiphysis of the femoral head D.Fracture through the proximal femoral growth plate E.Inflammatory destruction of the femoral metaphysis PathophysiologySubjectMusculoskeletal (Congenital anddevelopmental anomalies)SystemNoneTopic 25.1 A.Atypical pneumoniaB.CostochondritisC.Gastroesophageal reflux diseaseD.MyocarditisE.Pericarditis PathophysiologySubjectMusculoskeletal (Tissue responses)SystemNoneTopic<br><br>Correct answer letter: C	msk::knee
A 13-year-old boy is brought to the clinic due to persistent discomfort in his right thigh and groin that has worsened over the past 3 weeks. He first noticed a dull ache after participating in a weekend soccer game, which he attributed to overexertion. The pain has not resolved with rest or over-the-counter analgesics, and he has been avoiding physical activity at school. His mother has noticed a progressive limp, particularly when he climbs stairs. He also mentions feeling more tired than usual and says he sometimes feels stiffness in the mornings, although this usually improves within an hour. His past medical history includes childhood eczema and mild asthma treated with inhaled corticosteroids. His diet is low in calcium-rich foods, and he spends most of his time indoors playing video games. There is no history of trauma, recent travel, rashes, or fever. His BMI is at the 97th percentile, and he is otherwise developmentally normal. On exam, he has a slightly externally rotated right lower extremity while standing. Gait assessment reveals limping and guarding on the right side. There is decreased range of motion at the right hip, especially with internal rotation. Knee and lumbar spine exams are unremarkable. There is no joint effusion or erythema. Neurologic exam is intact. A radiograph of the pelvis is shown below. Which of the following best describes the pathologic mechanism of this patient’s condition?	SCFE is the answer on USMLE for an overweight, preadolescent boy (10-13) with a painful limp. X-ray shows ice cream falling off the cone.<br><br>Correct answer letter: C	msk::hip
A 16-year-old boy is brought to the clinic by his parents due to persistent, intermittent left-sided chest pain for the past 4 days. The pain is described as sharp, non-radiating, and comes on suddenly at rest. He denies any cough, fever, palpitations, or shortness of breath. He reports that the pain does not change with food intake, but it worsens with certain upper body movements, including lifting his backpack or swinging a bat. He plays competitive baseball and had an intense upper body workout earlier this week. There is no history of recent viral illness or trauma. His medical history is unremarkable, and he is not on any medications. On physical examination, he appears well and not in distress. Vital signs are within normal limits. Cardiovascular and pulmonary examinations are unremarkable. Palpation of the anterior chest wall reveals point tenderness over the left 2nd and 3rd costosternal junctions without swelling, erythema, or bruising. ECG and chest X-ray performed in the emergency department two days ago were normal. Laboratory tests including troponin, CBC, and CRP are within normal limits. Which of the following is the most likely diagnosis?	Costochondritis presents with localized, sharp chest pain worsened by movement and palpation. It is a benign, self-limited condition often seen in adolescents and athletes. Reproducibility of pain on exam helps distinguish it from cardiac, pulmonary, and GI causes. 26.1 A.Lateral meniscus tear B.Medial meniscus tear C.Pes anserine bursitis D.Posterior cruciate ligament tear E.Semimembranosus tendinopathy AnatomySubjectMusculoskeletal (Bone/joint injuries andinfections)SystemNoneTopic 27.1 A.Avoidance of high-impact physical activities B.Daily use of a calcium supplement C.Smoking cessation D.Vitamin D supplementation E.Weight loss PathologySubjectMusculoskeletal (Arthritis andspondyloarthropathies)SystemNoneTo<br><br>Correct answer letter: B	msk::bone_tumors_metabolic
