qid,original_id,topic,board_clue,correct_answer,common_trap,why_trap_is_wrong
25,25.1,Pharmacology (General Principles) (HY use-cases),A 28-year-old woman comes to the emergency department because of sudden-onset palpitations that began 20 minutes ago while studying.,Adenosine,Amiodarone,"Similar-looking mechanism/class, but not the best match for the board clue."
26,26.1,General,"A 30-year-old woman, gravida 1 para 1, comes to the office with a 2-day history of right breast pain and fever.",Continue breastfeeding and start dicloxacillin,Continue breastfeeding and initiate cold compresses only,"Similar-looking mechanism/class, but not the best match for the board clue."
27,27.1,Pharmacology (General Principles) (HY use-cases),A 26-year-old woman is brought to the emergency department by her roommate due to confusion and agitation.,Serotonin syndrome,Anticholinergic toxicity,"Similar-looking mechanism/class, but not the best match for the board clue."
28,28.1,Pharmacology (General Principles) (HY use-cases),A 64-year-old man comes to the clinic due to abdominal discomfort and infrequent bowel movements.,Verapamil,Amlodipine,"Similar-looking mechanism/class, but not the best match for the board clue."
29,29.1,General,A 28-year-old woman at 30 weeks gestation presents to the emergency department with progressive swelling and discomfort in her left leg over the past 3 days.,Enoxaparin,Apixaban,"Similar-looking mechanism/class, but not the best match for the board clue."
30,30.1,Pharmacology (General Principles) (HY use-cases),A 37-year-old man presents to the clinic with a 2-day history of skin redness and burning discomfort over both shoulders.,Drug-induced phototoxic reaction,Allergic contact dermatitis,"Similar-looking mechanism/class, but not the best match for the board clue."
31,31.1,Pharmacology (General Principles) (HY use-cases),A 6-year-old girl is brought to the clinic by her father due to a high fever and rash that started two days ago.,Penicillin,Azithromycin,"Similar-looking mechanism/class, but not the best match for the board clue."
32,32.1,Pharmacology (General Principles) (Mechanisms of action),A 54-year-old man with a recent myocardial infarction is started on a medication to reduce cardiac workload and prevent future arrhythmias.,Metoprolol,Labetalol,"Similar-looking mechanism/class, but not the best match for the board clue."
33,33.1,Pharmacology (General Principles) (Mechanisms of action),A 62-year-old woman comes to the clinic for a routine follow-up of her type 2 diabetes mellitus.,Peroxisome proliferator-activated receptors,β-Adrenergic receptors,"Similar-looking mechanism/class, but not the best match for the board clue."
34,34.1,Pharmacology (General Principles) (Mechanisms of action),A 32-year-old woman with a known diagnosis of multiple sclerosis presents for follow-up due to increasing difficulty with stiffness and spasms in her legs.,GABA-B receptor agonist,Alpha-2 adrenergic agonist,"Similar-looking mechanism/class, but not the best match for the board clue."
35,35.1,Pharmacology (General Principles) (Mechanisms of action),A 58-year-old woman with a 20-year history of poorly controlled type 2 diabetes presents to the clinic complaining of chronic urinary dribbling and frequent wetness of her undergarments.,Muscarinic receptor agonist,Alpha-1 receptor antagonist,"Similar-looking mechanism/class, but not the best match for the board clue."
36,36.1,Pharmacology (General Principles) (Mechanisms of action),A 71-year-old man presents to the outpatient clinic for evaluation of persistent urinary issues that have gradually worsened over the past year.,Muscarinic receptor agonist,5-alpha reductase inhibitor,"Similar-looking mechanism/class, but not the best match for the board clue."
37,13.2,Pharmacology (General Principles) (Mechanisms of action),A 12-year-old boy is brought to the pediatric hematology clinic for evaluation of easy bruising and frequent nosebleeds.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
38,37.1,Pharmacology (General Principles) (Mechanisms of action),Ristocetin cofactor activity Low He is started on a therapeutic agent before minor procedures.,Inhibits fibrinolysis through plasminogen activation blockade,Enhances platelet aggregation at sites of vascular injury,"Similar-looking mechanism/class, but not the best match for the board clue."
39,38.1,Pharmacology (General Principles) (Mechanisms of action),A 58-year-old man comes to the clinic for follow-up of routine blood work.,Pioglitazone,Dapagliflozin,"Similar-looking mechanism/class, but not the best match for the board clue."
40,39.1,Pharmacology (General Principles) (Mechanisms of action),A 66-year-old man undergoes coronary artery bypass grafting (CABG) for severe multivessel coronary artery disease.,Administer desmopressin,Administer cryoprecipitate,"Similar-looking mechanism/class, but not the best match for the board clue."
41,5.6,Pharmacology (General Principles) (Mechanisms of action),A 70-year-old man presents to the emergency department with generalized weakness and reduced urine output over the past 3 days.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
42,2.4,Pharmacology (General Principles) (Mechanisms of action),mg/dL,,,"Similar-looking mechanism/class, but not the best match for the board clue."
43,41.1,Pharmacology (General Principles) (Mechanisms of action),Urinalysis Unremarkable Which of the following medications is the most likely cause of this patient’s laboratory findings?,Furosemide,Ketorolac,"Similar-looking mechanism/class, but not the best match for the board clue."
44,44.1,Pharmacology (General Principles) (Mechanisms of action),A 62-year-old woman presents to the emergency department with acute swelling and pain in her left calf that began suddenly earlier this morning.,Indirect inhibition of factor Xa via antithrombin binding,Direct inhibition of thrombin (factor IIa),"Similar-looking mechanism/class, but not the best match for the board clue."
45,45.1,Pharmacology (General Principles) (Mechanisms of action),A 63-year-old man presents to the outpatient cardiology clinic for routine follow-up.,"Irreversible inhibition of COX-1 in platelets, preventing thromboxane A₂ synthesis","Irreversible inhibition of COX-2 in endothelial cells, preventing prostacyclin synthesis","Similar-looking mechanism/class, but not the best match for the board clue."
46,46.1,Pharmacology (General Principles) (Mechanisms of action),A 62-year-old man with a history of coronary artery disease and type 2 diabetes mellitus returns for follow-up evaluation.,Activates peroxisome proliferator–activated receptor alpha (PPAR-α),Directly inhibits cholesterol absorption at the intestinal brush border,"Similar-looking mechanism/class, but not the best match for the board clue."
47,47.1,Pharmacology (General Principles) (Mechanisms of action),A 46-year-old man comes to the clinic for routine follow-up after undergoing a renal transplantation 6 months ago.,Inhibits mammalian target of rapamycin (mTOR) signaling pathway,Blocks nucleotide synthesis by inhibiting inosine monophosphate dehydrogenase,"Similar-looking mechanism/class, but not the best match for the board clue."
48,48.1,Pharmacology (General Principles) (Pharmacokinetics/dynamics),"A 67-year-old man with a prior history of vascular intervention presents to the emergency department after experiencing a sudden, intense pressure-like sensation in the center of his chest while watching television.",Phenylephrine,Dobutamine,"Similar-looking mechanism/class, but not the best match for the board clue."
49,49.1,General,A 35-year-old man is evaluated for progressive slowness of movement and tremors.,MPTP-induced loss of dopaminergic neurons,Autoimmune attack on the neuromuscular junction,"Similar-looking mechanism/class, but not the best match for the board clue."
50,50.1,Pharmacology (General Principles) (Mechanisms of action),A 62-year-old woman presents to the emergency department with acute swelling and pain in her left calf that began suddenly earlier this morning.,Indirect inhibition of factor Xa via antithrombin binding,Direct inhibition of thrombin (factor IIa),"Similar-looking mechanism/class, but not the best match for the board clue."
51,51.1,Biochemistry (General Principles) (Acid/base disorders),"A 58-year-old man with a history of cirrhosis presents to the emergency department with confusion, disorientation, and difficulty concentrating.",Acidification; ammonium,Acidification; ammonia,"Similar-looking mechanism/class, but not the best match for the board clue."
52,52.1,Biochemistry (General Principles) (Cellular enzymes),A 61-year-old man comes to the clinic for follow-up after a recent hospitalization for pulmonary tuberculosis.,Induction of cytochrome P450 enzymes,Competitive antagonism at vitamin K epoxide reductase,"Similar-looking mechanism/class, but not the best match for the board clue."
53,53.1,Biochemistry (General Principles) (Cellular enzymes),A 59-year-old man is brought to the emergency department 45 minutes after developing severe substernal chest pain while climbing stairs.,Cytosol,Cell membrane,"Similar-looking mechanism/class, but not the best match for the board clue."
54,54.1,Genetics (General Principles) (Clinical genetics),A 13-year-old boy is brought to the emergency department due to right thigh pain and swelling.,Desmopressin administration,Cryoprecipitate infusion,"Similar-looking mechanism/class, but not the best match for the board clue."
55,13.0,General,A 36-year-old woman comes to the clinic due to increased bruising over the past two weeks.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
56,55.1,General,PTT 30 sec Which of the following is the most appropriate initial treatment for this patient?,Splenectomy,Desmopressin,"Similar-looking mechanism/class, but not the best match for the board clue."
57,56.1,Microbiology (General Principles) (Bacteriology),"A 36-year-old man comes to the emergency department due to a 4-day history of worsening redness, swelling, and pain in his right forearm after scraping it while working in his hospital laboratory.",β-lactamase production,Antibiotic target site methylation,"Similar-looking mechanism/class, but not the best match for the board clue."
58,58.1,General,A 34-year-old woman presents to the clinic with profuse watery diarrhea and vomiting for 1 day.,Begin intravenous fluid resuscitation,Administer doxycycline,"Similar-looking mechanism/class, but not the best match for the board clue."
59,59.1,Microbiology (General Principles) (Parasitology),"A 31-year-old woman is 18 weeks pregnant and presents with a 5-day history of watery diarrhea, foul- smelling stools, nausea, and bloating.",Metronidazole and IV normal saline,Ciprofloxacin and oral rehydration,"Similar-looking mechanism/class, but not the best match for the board clue."
60,60.1,Pharmacology (General Principles) (HY Adverse effects),A 29-year-old woman comes to the clinic for evaluation after discovering she is pregnant.,Fetal urine production,Closure of the neural tube,"Similar-looking mechanism/class, but not the best match for the board clue."
61,61.1,Pharmacology (General Principles) (HY Adverse effects),A 64-year-old woman is hospitalized for the treatment of a pulmonary embolism.,Antibody binding the heparin–platelet factor 4 complex,Autoantibody targeting ADAMTS13 metalloprotease,"Similar-looking mechanism/class, but not the best match for the board clue."
62,13.6,General,A 42-year-old man comes to the clinic due to worsening fatigue and reduced exercise tolerance over the past 3 weeks.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
63,63.1,Pharmacology (General Principles) (HY Adverse effects),A full-term newborn girl is evaluated shortly after birth due to concerns about ambiguous genitalia.,Maternal androgen exposure during pregnancy,Aromatase deficiency in the fetus,"Similar-looking mechanism/class, but not the best match for the board clue."
64,64.1,General,"A 36-year-old man with HIV presents to the emergency department with severe, persistent upper abdominal pain that radiates to his back.",Didanosine,Acyclovir,"Similar-looking mechanism/class, but not the best match for the board clue."
65,65.1,Pharmacology (General Principles) (HY Adverse effects),"A 63-year-old man with newly diagnosed testicular cancer is started on combination chemotherapy that includes cisplatin, etoposide, and bleomycin.",Chronic alveolar inflammation with fibroblast proliferation and collagen deposition,Alveolar destruction with loss of elastic recoil,"Similar-looking mechanism/class, but not the best match for the board clue."
66,66.1,General,A 42-year-old man is brought to the emergency department by his brother after suddenly collapsing while working on a rural farm.,Increased cholinergic activity,Decreased adrenergic activity,"Similar-looking mechanism/class, but not the best match for the board clue."
67,67.1,Pharmacology (General Principles) (HY Adverse effects),A 55-year-old postmenopausal woman presents to the clinic for a routine health maintenance examination.,Breast,Cervical,"Similar-looking mechanism/class, but not the best match for the board clue."
68,68.1,Pharmacology (General Principles) (HY Adverse effects),A 22-year-old man is brought to the emergency department by police after being found walking barefoot in traffic and shouting incoherently.,Phencyclidine,Alcohol,"Similar-looking mechanism/class, but not the best match for the board clue."
69,19.2,Pharmacology (General Principles) (HY Adverse effects),A 28-year-old man comes to the clinic for evaluation after a routine screening at his local gym revealed an unusually high hemoglobin concentration.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
70,69.1,Pharmacology (General Principles) (HY use-cases),"Platelet count 250,000/µL Erythropoietin level Low-normal Which of the following best explains this patient’s condition?",Chronic hypoxic pulmonary disease,Congenital hemoglobinopathy,"Similar-looking mechanism/class, but not the best match for the board clue."
71,71.1,Pharmacology (General Principles) (HY use-cases),A 37-year-old woman presents to the dermatology clinic with a 3-week history of an intensely itchy rash localized to her left wrist.,High-potency topical corticosteroids,Immediate patch testing,"Similar-looking mechanism/class, but not the best match for the board clue."
72,9.8,General,A 52-year-old man who operates a homemade distillery presents with 6 weeks of worsening crampy abdominal pain and constipation.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
73,72.1,Pharmacology (General Principles) (HY use-cases),Which of the following is the most appropriate next step in pharmacologic therapy?,Methylene blue,Calcium disodium EDTA,"Similar-looking mechanism/class, but not the best match for the board clue."
74,73.1,Pharmacology (General Principles) (HY use-cases),A 19-year-old man comes to the clinic due to persistent right thigh pain for the past two months.,Osteoblastoma,Ewing sarcoma,"Similar-looking mechanism/class, but not the best match for the board clue."
75,75.1,General,A 59-year-old man presents to the emergency department with sudden-onset severe upper back pain radiating between his scapulae.,Begin IV esmolol followed by nitroprusside,Administer alteplase,"Similar-looking mechanism/class, but not the best match for the board clue."
76,39.1,General,"A 19-year-old college student returns from a summer volunteer trip to coastal Kenya and presents with fever, chills, headache, and malaise that began 2 days ago.",,"and mild splenomegaly. Blood smear confirms the presence of Plasmodium falciparum with ring forms visible inside erythrocytes. She is admitted and started on artemether-lumefantrine, with good clinical response. She is concerned that she took all her medications correctly and asks how she became infected. Which of the following best explains her infection despite prophylaxis?","Similar-looking mechanism/class, but not the best match for the board clue."
77,76.1,Pharmacology (General Principles) (Mechanisms of action),Chloroquine-resistant Plasmodium falciparum,Infection with hypnozoites not targeted by chloroquine,Inadequate blood levels due to poor compliance,"Similar-looking mechanism/class, but not the best match for the board clue."
78,77.1,Pharmacology (General Principles) (Mechanisms of action),A 23-year-old woman is rushed to the emergency department after collapsing at an outdoor gathering.,Inhibits histamine release from mast cells,Blocks peripheral muscarinic receptors,"Similar-looking mechanism/class, but not the best match for the board clue."
79,78.1,Pharmacology (General Principles) (Mechanisms of action),A 54-year-old man presents with progressive shortness of breath and dry cough over 2 weeks.,Alveolar damage due to type III hypersensitivity,Development of pulmonary fibrosis,"Similar-looking mechanism/class, but not the best match for the board clue."
80,80.1,Pharmacology (General Principles) (Mechanisms of action),A 67-year-old man presents to the clinic for evaluation of chronic lower urinary tract symptoms.,Inhibit 5-alpha reductase,Alpha-1 adrenergic receptor blockade,"Similar-looking mechanism/class, but not the best match for the board clue."
81,81.1,Pharmacology (General Principles) (Mechanisms of action),A 68-year-old woman comes to the clinic for evaluation of progressively worsening urinary symptoms over the past 6 months.,Oxybutynin therapy,Bethanechol therapy,"Similar-looking mechanism/class, but not the best match for the board clue."
82,82.1,Pharmacology (General Principles) (Mechanisms of action),"A 36-year-old woman comes to the neurology clinic for follow-up regarding multiple sclerosis (MS), which was diagnosed 4 years ago after an episode of optic neuritis and confirmation by MRI.",Mirabegron therapy,Alpha-1 receptor blocker,"Similar-looking mechanism/class, but not the best match for the board clue."
83,5.8,Pharmacology (General Principles) (Mechanisms of action),"A 69-year-old man comes to the physician because of a 2-month history of progressive fatigue, shortness of breath with mild exertion, and swelling in his lower legs.",,,"Similar-looking mechanism/class, but not the best match for the board clue."
84,2.1,Pharmacology (General Principles) (Mechanisms of action),mg/dL.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
85,85.1,Pharmacology (General Principles) (Mechanisms of action),A 66-year-old man is hospitalized for management of a diabetic foot infection involving the dorsum of his right foot.,Binds the 30S ribosomal subunit and inhibits initiation and translocation,Binds the 50S ribosomal subunit and inhibits peptide bond formation,"Similar-looking mechanism/class, but not the best match for the board clue."
86,86.1,Pharmacology (General Principles) (Mechanisms of action),A 68-year-old woman presents to the clinic due to gradually worsening motor symptoms over the past month.,Discontinue the metoclopramide,Add benztropine,"Similar-looking mechanism/class, but not the best match for the board clue."
87,87.1,Pharmacology (General Principles) (Mechanisms of action),A 64-year-old man comes to the clinic for evaluation of tremors in his hands that have progressively worsened over the past 8 months.,Propranolol,Amantadine,"Similar-looking mechanism/class, but not the best match for the board clue."
88,88.1,General,A 19-year-old college student is brought to the emergency department by her roommate after an intentional drug overdose.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
89,0.7,Pharmacology (General Principles) (Mechanisms of action),"mg/dL, and INR is 1.0.",Repeat liver enzymes in 6 hours,Administer activated charcoal,"Similar-looking mechanism/class, but not the best match for the board clue."
90,0.8,Pharmacology (General Principles) (Mechanisms of action),A 56-year-old man comes to the clinic for management of poorly controlled type 2 diabetes mellitus despite adherence to dietary modifications and regular exercise for the past 6 months.,,,"Similar-looking mechanism/class, but not the best match for the board clue."
91,90.1,Pharmacology (General Principles) (Mechanisms of action),membrane.,Pioglitazone,Acarbose,"Similar-looking mechanism/class, but not the best match for the board clue."
92,91.1,Pharmacology (General Principles) (Mechanisms of action),A 46-year-old woman comes to the hematology clinic for follow-up after completing her first cycle of chemotherapy for a recently diagnosed lymphoid malignancy.,CD3 on T lymphocytes,CD14 on monocytes and macrophages,"Similar-looking mechanism/class, but not the best match for the board clue."
93,93.1,Pharmacology (General Principles) (Mechanisms of action),A 42-year-old man presents for follow-up after being diagnosed with HIV infection 4 months ago.,Inhibiting protease activity to prevent cleavage of viral polyproteins,Binding to gp41 to block viral entry into host cells,"Similar-looking mechanism/class, but not the best match for the board clue."
94,94.1,Pharmacology (General Principles) (Mechanisms of action),A 26-year-old man is brought to the emergency department by his wife after being found sitting on the back porch of the house confused and unresponsive.,"58-year-old woman presents to her primary care physician for follow-up after hospital discharge. She was recently admitted with chest pain and diagnosed with a non-ST elevation myocardial infarction. During her hospitalization, she was started on aspirin, a statin, a beta blocker, and clopidogrel that she has now been told she must continue long term. The patient has a remarkable personal history outside of her health. She grew up in the northeastern United States and developed a deep love for outdoor activities. From her late teens onward, she spent weekends kayaking and canoeing across various lakes in New Hampshire, Vermont, and upstate New York. She loved the quiet mist rising from the water at sunrise, the sight of loons diving beneath the surface, and the feeling of paddling alone in crisp autumn air. She joined a small group of outdoor enthusiasts who would explore remote waterways, sometimes portaging their canoes through rugged trails to reach hidden lakes. Over time, she became skilled at navigating whitewater stretches and learned rescue techniques for overturned boats. By her mid-30s, she had visited nearly every major lake across the region, carefully recording details of each trip in a journal. By age 40, however, she began longing for new horizons. She believed the northeastern lakes, though beautiful, no longer offered the sense of adventure she craved. At age 43, she made a life-changing decision to relocate to Alaska, where she could pursue kayaking on a grander scale. There, she discovered vast glacier-fed lakes, icy rivers, and waterways surrounded by snow- capped peaks. She recalls paddling across Lake Clark, where the turquoise water reflected towering mountains, and she camped on the shoreline beneath endless summer twilight. On another trip, she ventured into Prince William Sound, maneuvering her kayak among floating icebergs while spotting seals resting on the ice. These experiences deepened her passion and solidified her reputation among",Epinephrine,"Similar-looking mechanism/class, but not the best match for the board clue."
95,95.1,Pharmacology (General Principles) (Mechanisms of action),friends as someone who had dedicated her life to the water.,Inhibits adenosine diphosphate (ADP) P2Y₁₂ receptor on platelets,Binds glycoprotein IIb/IIIa receptors to prevent fibrinogen cross-linking,"Similar-looking mechanism/class, but not the best match for the board clue."
96,96.1,General,A 27-year-old woman presents with painful vesicular lesions on her lower lip that appeared after a week of fever and sore throat.,Competitive inhibition of viral DNA polymerase with chain termination after incorporation,"Direct inhibition of host DNA polymerase alpha, halting DNA replication in human cells","Similar-looking mechanism/class, but not the best match for the board clue."
97,97.1,Pharmacology (General Principles) (Mechanisms of action),A 52-year-old man is evaluated in the emergency department after undergoing abdominal surgery 2 days ago.,Direct agonist at muscarinic acetylcholine receptors,Inhibition of acetylcholinesterase at the synaptic cleft,"Similar-looking mechanism/class, but not the best match for the board clue."
98,98.1,Pharmacology (General Principles) (Mechanisms of action),A 58-year-old man comes for follow-up evaluation after recent adjustments to his cardiovascular risk management.,Directly inhibits cholesterol absorption at the brush border of enterocytes,Binds bile acids in the intestinal lumen to increase fecal loss,"Similar-looking mechanism/class, but not the best match for the board clue."
99,99.1,Pharmacology (General Principles) (Mechanisms of action),"A 35-year-old man presents with 1 week of bloody diarrhea, abdominal pain, and tenesmus after returning from a business trip to Mexico.",Disrupts DNA by generating free radicals,Binds to 30S ribosomal subunit,"Similar-looking mechanism/class, but not the best match for the board clue."
100,4.2,General,"A 74-year-old woman comes to the clinic due to progressive fatigue, nausea, and a persistent “buzzing” in her ears that has been worsening over the past month.",,,"Similar-looking mechanism/class, but not the best match for the board clue."
101,101.1,General,A 56-year-old woman with a history of stage IIIC epithelial ovarian carcinoma presents for evaluation 3 days after receiving a new chemotherapy infusion.,Hyperstabilization of polymerized microtubules,Disruption of DNA through alkylation of guanine residues,"Similar-looking mechanism/class, but not the best match for the board clue."
102,102.1,Biochemistry (General Principles) (Lipid metabolism),A 52-year-old man with chronic liver disease and a recent statin-associated myopathy presents to his primary care physician for lipid management.,Prevents enterohepatic reabsorption of bile acids,Activates lipoprotein lipase via PPAR-α,"Similar-looking mechanism/class, but not the best match for the board clue."
103,103.1,General,A 61-year-old man with hyperlipidemia is prescribed niacin for secondary prevention of cardiovascular disease.,Prostaglandin-mediated vasodilation,Activation of bradykinin pathways,"Similar-looking mechanism/class, but not the best match for the board clue."
104,104.1,Microbiology (General Principles) (Bacteriology),A 32-year-old woman comes to the clinic because of a 3-day history of discomfort while urinating along with a frequent urge to void small amounts of urine.,β-lactamase production,Alteration of penicillin-binding proteins,"Similar-looking mechanism/class, but not the best match for the board clue."
105,105.1,Microbiology (General Principles) (Parasitology),A 28-year-old woman presents to the clinic with a 1-week history of vaginal itching and increased discharge.,Trichomonas vaginalis Submit,Candida albicans,"Similar-looking mechanism/class, but not the best match for the board clue."
106,106.1,Microbiology (General Principles) (Staining / Smears / Microscopy),"A 36-year-old man with HIV comes to the emergency department with a 2-week history of headache, fever, and progressive disorientation.",Binds ergosterol and forms membrane pores,Blocks conversion of squalene to lanosterol,"Similar-looking mechanism/class, but not the best match for the board clue."
107,107.1,Pathology (General Principles) (Neoplasia),A 56-year-old woman presents to her primary care physician with progressive right-sided hip pain over the past 6 weeks.,Osteoarthritis,Avascular necrosis,"Similar-looking mechanism/class, but not the best match for the board clue."
108,109.1,Pharmacology (General Principles) (Anesthesia),A 22-year-old man undergoes a routine orthopedic procedure for a tibial fracture.,Genetic defect in the skeletal muscle ryanodine receptor,Autoantibodies against acetylcholine receptors at the neuromuscular junction,"Similar-looking mechanism/class, but not the best match for the board clue."
109,110.1,Pharmacology (General Principles) (HY Adverse effects),"A 32-year-old man presents to the clinic with a 2-month history of palpitations, unintentional weight loss, heat intolerance, and frequent bowel movements.",Agranulocytosis,Arthus reaction,"Similar-looking mechanism/class, but not the best match for the board clue."
110,111.1,Pharmacology (General Principles) (HY Adverse effects),"A 3-year-old boy is brought to the emergency department by his parents due to progressive lethargy, poor feeding, and vomiting over the past two days.",Impairment of hepatic mitochondrial β-oxidation,Blockade of T-type calcium channels in the thalamus,"Similar-looking mechanism/class, but not the best match for the board clue."
111,112.1,Pharmacology (General Principles) (HY Adverse effects),"A 30-year-old woman is brought to the emergency department due to agitation, fever, and diarrhea.",Urinary 5-hydroxyindoleacetic acid,Blood cultures,"Similar-looking mechanism/class, but not the best match for the board clue."
112,2.3,Pharmacology (General Principles) (HY Adverse effects),A 29-year-old man presents to the outpatient clinic with new-onset ankle swelling and fatigue.,,Acute glomerular disease,"Similar-looking mechanism/class, but not the best match for the board clue."
113,114.1,Pharmacology (General Principles) (HY Adverse effects),A 20-year-old college student comes to the clinic due to increased thirst and frequent urination over the past month.,"↓ Amino acids, ↓ Bicarbonate, ↓ Glucose, ↓ Phosphate","↑ Amino acids, ↑ Bicarbonate, ↑ Glucose, ↑ Phosphate","Similar-looking mechanism/class, but not the best match for the board clue."
