Deck	Front	Back	Tags
Pharma	A 42-year-old woman comes to the clinic due to easy bruising and increased bleeding from her gums over the past 5 days.<br><br><b>What is the best answer/mechanism/drug?</b>	<b></b><br><br>ITP in adult women presents with mucosal and cutaneous bleeding, isolated thrombocytopenia, normal PT/aPTT, and elevated bleeding time. Prednisone is the first-line treatment, followed by IVIG if needed, with splenectomy reserved for refractory disease.	pharma::hematology_oncology_platelet_disorders
Pharma	g/dL, leukocyte count of 6,700/mm³, and platelet count of 14,000/mm³.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Intravenous immunoglobulin (IVIG)</b><br><br>IRIS occurs when restored immunity leads to excessive inflammation against residual infections in HIV patients after starting ART. It typically presents 1–8 weeks after ART initiation in patients with low baseline CD4 count. Treatment includes continuation of ART, anti-infective therapy, and sometimes steroids for inflammation control.	pharma::general
Pharma	A 54-year-old man comes to the emergency department with a 4-day history of productive cough, fever, and shortness of breath.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Medication side effect</b><br><br>Rituximab predisposes patients to infections with encapsulated organisms like S. pneumoniae by depleting B cells and impairing humoral immunity. This mechanism differs from risk factors such as smoking, alcohol use (aspiration), asbestos exposure, COPD, or bronchiectasis, which involve structural or mechanical lung disease rather than immune dysfunction.	pharma::microbiology_general_principles_bacteriology
Pharma	A 62-year-old woman with a 15-year history of seropositive rheumatoid arthritis presents for a routine follow-up.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Acetaminophen</b><br><br>Mild musculoskeletal pain in stable RA without signs of active disease should be treated conservatively with safe analgesics like acetaminophen. Step 3 rewards conservative, patient-centered, risk-conscious decision-making.	pharma::pathology_general_principles_inflammation_and_repair
Pharma	A 33-year-old man with no significant medical history is scheduled for an elective inguinal hernia repair under general anesthesia.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Stimulates nicotinic acetylcholine receptors, causing persistent depolarization</b><br><br>Succinylcholine is a depolarizing neuromuscular blocker that causes rapid, short-term paralysis by persistently activating nicotinic acetylcholine receptors at the neuromuscular junction, leading to sustained depolarization and flaccid paralysis.	pharma::pharmacology_general_principles_drug_metabolism
Pharma	effect occurred?<br><br><b>What is the best answer/mechanism/drug?</b>	<b>P-450–mediated interaction</b><br><br>Statins are metabolized via CYP450 enzymes, primarily CYP3A4. Co-administration with drugs like gemfibrozil can inhibit hepatic metabolism, causing toxic statin accumulation. Statin–fibrate combinations significantly increase risk of myopathy due to P-450–mediated interaction	pharma::general
Pharma	A 71-year-old male with a long-standing history of chronic bronchospastic pulmonary disease is admitted for worsening dyspnea, persistent wheezing, and nocturnal cough despite maximal inhaled β2- agonist therapy.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Enhanced action of the agonist at β-adrenergic receptors</b><br><br>Glucocorticoids are permissive of the effects of catecholamines by upregulating both alpha- and beta-receptor expression.	pharma::pharmacology_general_principles_drug_receptors
Pharma	A 23-year-old woman presents to the emergency department with a 2-day history of painful oral ulcers, fever, and a rapidly progressing rash.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Sequential blockade of folate synthesis</b><br><br>SJS is a type IV hypersensitivity reaction in which cytotoxic T cells trigger widespread keratinocyte apoptosis, with secondary massive necrosis. It is often caused by sulfa drugs, anticonvulsants, and other high-risk medications.	pharma::general
Pharma	A 41-year-old man presents to the clinic with fatigue, dark-colored urine, and a diffuse skin rash that started two days ago.<br><br><b>What is the best answer/mechanism/drug?</b>	<b></b><br><br>Acute interstitial nephritis is a hypersensitivity reaction of the kidney triggered by drugs like cephalosporins, NSAIDs, or β-lactams. The classic pass-level findings are a maculopapular rash and WBC in the urine (eosinophils).	pharma::pharmacology_general_principles_hy_adverse_effects
Pharma	A 67-year-old man presents to his primary care physician with gradually worsening shortness of breath over the past several months.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Amiodarone</b><br><br>This patient's progressive dyspnea and interstitial changes are most consistent with amiodarone-induced pulmonary toxicity, a known complication of long-term therapy. Other drugs that can cause interstitial lung disease include methotrexate, nitrofurantoin, and bleomycin. Beyond pulmonary toxicity, amiodarone may also cause thyroid dysfunction, hepatotoxicity, corneal deposits, photosensitivity, and skin discoloration.	pharma::pharmacology_general_principles_hy_adverse_effects
Pharma	A 32-year-old man is brought to the emergency department after being found confused and diaphoretic in a field where he had been spraying pesticides for several hours.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Parathion</b><br><br>Organophosphates such as parathion, malathion, diazinon, and chlorpyrifos irreversibly inhibit acetylcholinesterase, causing accumulation of acetylcholine and a cholinergic crisis marked by DUMBBELs symptoms. Prompt treatment with atropine and pralidoxime is crucial to prevent fatal respiratory failure.	pharma::pharmacology_general_principles_hy_adverse_effects
Pharma	A 55-year-old man presents to the clinic with gradually progressive shortness of breath over the past several months.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Cardiomyopathy</b><br><br>Doxorubicin causes dilated cardiomyopathy.	pharma::pharmacology_general_principles_hy_adverse_effects
Pharma	A 23-year-old woman presents to the emergency department with a 2-day history of fever, sore throat, and rapidly worsening skin lesions.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Stevens-Johnson syndrome</b><br><br>SJS and TEN are type-IV hypersensitivities causing sloughing of the skin in the setting of a drug. Common causes are anti-epileptics and sulfa agents. SJS is <10% surface area of the body affected; TEN is >30%; 10-30% is an SJS/TEN overlap zone. Bullous pemphigoid and pemphigus vulgaris are idiopathic and not caused by drugs.	pharma::pharmacology_general_principles_hy_adverse_effects
Pharma	A 58-year-old man comes to the clinic for a routine follow-up.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Hydrochlorothiazide</b><br><br>Thiazides can cause skin rash, galactorrhea, hypercalcemia, and gout.	pharma::general
Pharma	A 28-year-old woman comes to the emergency department because of sudden-onset palpitations that began 20 minutes ago while studying.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Adenosine</b><br><br>Adenosine is the drug used to acutely terminate paroxysmal supraventricular tachycardia by transiently blocking AV nodal conduction and interrupting the reentrant circuit.	pharma::pharmacology_general_principles_hy_use_cases
Pharma	A 30-year-old woman, gravida 1 para 1, comes to the office with a 2-day history of right breast pain and fever.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Continue breastfeeding and start dicloxacillin</b><br><br>The appropriate management of uncomplicated lactational mastitis includes continued breastfeeding and antibiotics active against MSSA. Early treatment prevents complications and promotes rapid resolution.	pharma::general
Pharma	A 26-year-old woman is brought to the emergency department by her roommate due to confusion and agitation.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Serotonin syndrome</b><br><br>Serotonin syndrome presents with a triad of altered mental status, autonomic instability, and neuromuscular hyperactivity (especially clonus and hyperreflexia). It typically develops within 24 hours of initiating or combining serotonergic agents.	pharma::pharmacology_general_principles_hy_use_cases
Pharma	A 64-year-old man comes to the clinic due to abdominal discomfort and infrequent bowel movements.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Verapamil</b><br><br>Verapamil causes constipation.	pharma::pharmacology_general_principles_hy_use_cases
Pharma	A 28-year-old woman at 30 weeks gestation presents to the emergency department with progressive swelling and discomfort in her left leg over the past 3 days.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Enoxaparin</b><br><br>In pregnant patients diagnosed with deep vein thrombosis (DVT), low molecular weight heparin (LMWH) such as enoxaparin is the treatment of choice due to its inability to cross the placenta, predictable dosing, and favorable safety profile. Unfractionated heparin (UFH) is an alternative when rapid reversal is needed or in cases of renal impairment. Direct oral anticoagulants (DOACs) and warfarin are contraindicated due to fetal harm, and aspirin is ineffective for treating venous thrombosis.	pharma::general
Pharma	A 37-year-old man presents to the clinic with a 2-day history of skin redness and burning discomfort over both shoulders.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Drug-induced phototoxic reaction</b><br><br>Doxycycline binds the 30S ribosomal subunit, inhibiting bacterial protein synthesis, and is indicated for infections such as rickettsial diseases, Lyme disease, ehrlichiosis, atypical pneumonias, and certain chlamydial infections. Its use carries the risk of phototoxic reactions, in which UVA exposure during therapy generates reactive oxygen species that damage sun-exposed skin, producing painful erythema and edema.	pharma::pharmacology_general_principles_hy_use_cases
Pharma	A 6-year-old girl is brought to the clinic by her father due to a high fever and rash that started two days ago.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Penicillin</b><br><br>Scarlet fever is caused by erythrogenic exotoxins from Streptococcus pyogenes and presents with strawberry tongue, sandpaper rash, and fever. The treatment of choice is penicillin to prevent complications such as acute rheumatic fever.	pharma::pharmacology_general_principles_hy_use_cases
Pharma	A 54-year-old man with a recent myocardial infarction is started on a medication to reduce cardiac workload and prevent future arrhythmias.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Metoprolol</b><br><br>β₁-selective beta blockers like metoprolol are safer for use in asthmatic patients. Labetalol decreases systemic vascular resistance. Propranolol increases systemic vascular resistance.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	A 62-year-old woman comes to the clinic for a routine follow-up of her type 2 diabetes mellitus.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Peroxisome proliferator-activated receptors</b><br><br>Pioglitazone activates peroxisome proliferator-activated receptor gamma (PPAR-γ), a nuclear receptor expressed in adipose tissue, muscle, and liver. Activation of PPAR-γ enhances insulin sensitivity by promoting transcription of genes involved in glucose uptake and lipid metabolism, increases adiponectin levels, and reduces hepatic glucose production. This mechanism improves glycemic control in type 2 diabetes but carries risks such as weight gain, fluid retention, heart failure exacerbation, and hepatotoxicity.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	A 32-year-old woman with a known diagnosis of multiple sclerosis presents for follow-up due to increasing difficulty with stiffness and spasms in her legs.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>GABA-B receptor agonist</b><br><br>Baclofen is a GABA-B receptor agonist used to treat muscle spasticity, especially in upper motor neuron conditions like multiple sclerosis. It reduces muscle tone by inhibiting excitatory neurotransmission in the spinal cord. Baclofen is the first-line treatment for MS-related spasticity and clonus.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	A 58-year-old woman with a 20-year history of poorly controlled type 2 diabetes presents to the clinic complaining of chronic urinary dribbling and frequent wetness of her undergarments.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Muscarinic receptor agonist</b><br><br>Bethanechol is a muscarinic receptor agonist that can be used to treat overflow incontinence due to a hypocontractile (neurogenic) bladder in the setting of advanced diabetes.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	A 71-year-old man presents to the outpatient clinic for evaluation of persistent urinary issues that have gradually worsened over the past year.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Muscarinic receptor agonist</b><br><br>Overflow incontinence due to diabetic autonomic neuropathy results from impaired parasympathetic innervation to the bladder, leading to hypotonic detrusor muscle and chronic urinary retention. Patients present with a weak stream, high post-void residual volume, and painless dribbling, often without awareness. Muscarinic receptor agonists like bethanechol stimulate detrusor contraction and help restore bladder emptying in neurogenic bladder.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	A 12-year-old boy is brought to the pediatric hematology clinic for evaluation of easy bruising and frequent nosebleeds.<br><br><b>What is the best answer/mechanism/drug?</b>	<b></b><br><br>Von Willebrand disease is a congenital bleeding disorder characterized by impaired platelet adhesion and reduced factor VIII stability due to quantitative or qualitative deficiency of von Willebrand factor. Desmopressin treats mild cases by stimulating endothelial release of stored vWF and factor VIII, thereby improving primary hemostasis	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	Ristocetin cofactor activity Low He is started on a therapeutic agent before minor procedures.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Inhibits fibrinolysis through plasminogen activation blockade</b><br><br>Pioglitazone activates PPAR-γ to enhance insulin sensitivity in adipose tissue, muscle, and the liver. It is particularly effective in patients with metabolic syndrome or nonalcoholic fatty liver disease. Its benefits on hepatic steatosis and insulin resistance make it the most appropriate choice in patients seeking improvement in both glycemic control and liver-related metabolic dysfunction.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	A 58-year-old man comes to the clinic for follow-up of routine blood work.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Pioglitazone</b><br><br>Unfractionated heparin can be rapidly reversed with protamine sulfate, which binds and neutralizes heparin's anticoagulant activity. In cases of postoperative bleeding with isolated aPTT elevation and recent heparin use, protamine is the treatment of choice.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	A 66-year-old man undergoes coronary artery bypass grafting (CABG) for severe multivessel coronary artery disease.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Administer desmopressin</b><br><br>Leuprolide is a GnRH receptor agonist that works through continuous stimulation and receptor downregulation, leading to reduced FSH and LH secretion. This suppresses estrogen and testosterone production and is used in conditions such as endometriosis, fibroids, adenomyosis, and prostate cancer.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	A 70-year-old man presents to the emergency department with generalized weakness and reduced urine output over the past 3 days.<br><br><b>What is the best answer/mechanism/drug?</b>	<b></b><br><br>NSAIDs such as ketorolac reduce renal perfusion by inhibiting prostaglandin-mediated afferent arteriole vasodilation, which can precipitate acute kidney injury, particularly in patients with heart failure or underlying kidney disease.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	mg/dL<br><br><b>What is the best answer/mechanism/drug?</b>	<b></b><br><br>NSAID-induced ulcers are a leading cause of upper GI bleeding, particularly in elderly patients with a history of ulcer disease. In such patients, the first and most critical management step is discontinuing the NSAID, as continuing use impedes healing and worsens bleeding risk—even if acid suppression is initiated.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	Urinalysis Unremarkable Which of the following medications is the most likely cause of this patient’s laboratory findings?<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Furosemide</b><br><br>LMWH and UFH both act via antithrombin III, but LMWH’s shorter chain length limits its ability to inhibit thrombin (factor IIa), making it more selective for factor Xa inhibition. This subtle but important difference has clinical implications for drug selection, monitoring, and reversal.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	A 62-year-old woman presents to the emergency department with acute swelling and pain in her left calf that began suddenly earlier this morning.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Indirect inhibition of factor Xa via antithrombin binding</b><br><br>Fondaparinux exerts its anticoagulant effect by indirectly inhibiting factor Xa via antithrombin binding. It is distinct from heparin, LMWH, and DOACs due to its selective and indirect action.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	A 63-year-old man presents to the outpatient cardiology clinic for routine follow-up.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Irreversible inhibition of COX-1 in platelets, preventing thromboxane A₂ synthesis</b><br><br>Aspirin irreversibly inhibits both COX-1 and COX-2, but its cardioprotective effect comes from COX-1 inhibition in platelets, which permanently blocks thromboxane A₂ synthesis. Endothelial COX-2 inhibition is temporary, so prostacyclin production recovers, leaving aspirin’s antiplatelet benefit dominant.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	A 62-year-old man with a history of coronary artery disease and type 2 diabetes mellitus returns for follow-up evaluation.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Activates peroxisome proliferator–activated receptor alpha (PPAR-α)</b><br><br>Fenofibrate activates PPAR-α, upregulating lipoprotein lipase to enhance triglyceride clearance, lower VLDL, and modestly raise HDL—used for hypertriglyceridemia, especially to prevent pancreatitis, but may cause gallstones, hepatotoxicity, and myopathy (especially with statins).	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	A 46-year-old man comes to the clinic for routine follow-up after undergoing a renal transplantation 6 months ago.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Inhibits mammalian target of rapamycin (mTOR) signaling pathway</b><br><br>Sirolimus prevents graft rejection by binding FKBP and inhibiting mTOR, blocking IL-2–driven T-cell proliferation; unlike calcineurin inhibitors, it is non-nephrotoxic.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	A 67-year-old man with a prior history of vascular intervention presents to the emergency department after experiencing a sudden, intense pressure-like sensation in the center of his chest while watching television.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Phenylephrine</b><br><br>Phenylephrine is a selective alpha-1 adrenergic agonist that increases blood pressure through vasoconstriction without stimulating cardiac beta receptors. It is preferred in hypotensive myocardial infarction when tachycardia is either not present or not tolerated.	pharma::pharmacology_general_principles_pharmacokinetics_dynamics
Pharma	A 35-year-old man is evaluated for progressive slowness of movement and tremors.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>MPTP-induced loss of dopaminergic neurons</b><br><br>MPTP is a contaminant of synthetic heroin that causes parkinsonism. It selectively destroys dopaminergic neurons in the substantia nigra pars compacta. Presents as sudden-onset parkinsonism in young drug users, clinically resembling idiopathic Parkinson disease.	pharma::general
Pharma	A 62-year-old woman presents to the emergency department with acute swelling and pain in her left calf that began suddenly earlier this morning.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Indirect inhibition of factor Xa via antithrombin binding</b><br><br>Fondaparinux exerts its anticoagulant effect by indirectly inhibiting factor Xa via antithrombin binding. It is distinct from heparin, LMWH, and DOACs due to its selective and indirect action.	pharma::pharmacology_general_principles_mechanisms_of_action
Pharma	A 58-year-old man with a history of cirrhosis presents to the emergency department with confusion, disorientation, and difficulty concentrating.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Acidification; ammonium</b><br><br>Lactulose causes acidification of the GI contents, converting uncharged ammonia into charged ammonium, which is not as readily absorbed.	pharma::biochemistry_general_principles_acid_base_disorders
Pharma	A 61-year-old man comes to the clinic for follow-up after a recent hospitalization for pulmonary tuberculosis.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Induction of cytochrome P450 enzymes</b><br><br>Warfarin is primarily metabolized by the cytochrome P450 system, especially CYP2C9. Enzyme inducers (e.g., rifampin, phenytoin, carbamazepine, phenobarbital, St. John’s wort) increase warfarin metabolism, leading to lower plasma levels and subtherapeutic INR, thereby increasing thrombotic risk. In contrast, inhibitors (e.g., amiodarone, cimetidine, fluconazole, metronidazole, TMP-SMX) slow warfarin metabolism, raising INR and bleeding risk. Managing patients on warfarin requires careful review of concurrent medications and frequent INR monitoring during any drug changes.	pharma::biochemistry_general_principles_cellular_enzymes
Pharma	A 59-year-old man is brought to the emergency department 45 minutes after developing severe substernal chest pain while climbing stairs.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Cytosol</b><br><br>In acute MI, nitrates rapidly relieve pain by causing venodilation and lowering myocardial oxygen demand. They act by releasing NO, which activates cytosolic soluble guanylyl cyclase to increase cGMP, leading to smooth muscle relaxation. Their binding site is in the cytosol, not at the membrane or in organelles.	pharma::biochemistry_general_principles_cellular_enzymes
Pharma	A 13-year-old boy is brought to the emergency department due to right thigh pain and swelling.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Desmopressin administration</b><br><br>Hemophilia A causes prolonged aPTT due to factor VIII deficiency and presents with deep tissue bleeding. In mild cases, desmopressin is the next best step in management because it raises endogenous factor VIII levels.	pharma::genetics_general_principles_clinical_genetics
Pharma	A 36-year-old woman comes to the clinic due to increased bruising over the past two weeks.<br><br><b>What is the best answer/mechanism/drug?</b>	<b></b><br><br>Immune thrombocytopenic purpura is caused by autoantibodies against platelet glycoproteins IIb/IIIa leading to destruction and impaired aggregation. First-line treatment is corticosteroids, followed by IVIG if needed, with splenectomy reserved for refractory cases.	pharma::general
Pharma	PTT 30 sec Which of the following is the most appropriate initial treatment for this patient?<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Splenectomy</b><br><br>USMLE wants you to know that MSSA → MRSA via elaboration of a new penicillin-binding protein (PBP2a) encoded by the mecA gene. β-lactamase production can't be the mechanism because MSSA already produces that.	pharma::general
Pharma	A 36-year-old man comes to the emergency department due to a 4-day history of worsening redness, swelling, and pain in his right forearm after scraping it while working in his hospital laboratory.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>β-lactamase production</b><br><br>Isoniazid is a mycolic acid synthesis inhibitor and can cause vitamin B6 deficiency, which can present as neuropathy and/or seizures. Always give B6 to anyone on isoniazid.	pharma::microbiology_general_principles_bacteriology
Pharma	A 34-year-old woman presents to the clinic with profuse watery diarrhea and vomiting for 1 day.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Begin intravenous fluid resuscitation</b><br><br>Rapid intravenous fluid replacement is critical in cholera patients with moderate to severe dehydration to prevent shock and mortality. Antibiotics and supportive therapies are important but secondary to volume resuscitation.	pharma::general
Pharma	A 31-year-old woman is 18 weeks pregnant and presents with a 5-day history of watery diarrhea, foul- smelling stools, nausea, and bloating.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Metronidazole and IV normal saline</b><br><br>Metronidazole is the first-line treatment for symptomatic Giardia lamblia infection in both the general population and pregnant patients beyond the first trimester. It effectively clears the parasite and is considered safe to use in the second and third trimesters when clinically indicated.	pharma::microbiology_general_principles_parasitology
Pharma	A 29-year-old woman comes to the clinic for evaluation after discovering she is pregnant.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Fetal urine production</b><br><br>After the first trimester, amniotic fluid is primarily produced by fetal urine. ACE inhibitors impair fetal renal perfusion and nephrogenesis, leading to oligohydramnios, which may cause Potter sequence and lung hypoplasia. Other causes of oligohydramnios include NSAIDs, renal agenesis, posterior urethral valves, and uteroplacental insufficiency.	pharma::pharmacology_general_principles_hy_adverse_effects
Pharma	A 64-year-old woman is hospitalized for the treatment of a pulmonary embolism.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Antibody binding the heparin–platelet factor 4 complex</b><br><br>Heparin-induced thrombocytopenia is an immune-mediated prothrombotic disorder caused by IgG antibodies against the heparin–platelet factor 4 complex. It results in platelet activation, thrombocytopenia, and paradoxical thrombosis typically 5–10 days after heparin exposure. Management requires immediate discontinuation of all heparin products and initiation of a non-heparin anticoagulant such as argatroban or fondaparinux.	pharma::pharmacology_general_principles_hy_adverse_effects
Pharma	A 42-year-old man comes to the clinic due to worsening fatigue and reduced exercise tolerance over the past 3 weeks.<br><br><b>What is the best answer/mechanism/drug?</b>	<b></b><br><br>Ribavirin causes hemolytic anemia.	pharma::general
Pharma	A full-term newborn girl is evaluated shortly after birth due to concerns about ambiguous genitalia.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Maternal androgen exposure during pregnancy</b><br><br>Maternal androgens can cross the placenta and virilize a genetically female fetus, leading to clitoromegaly and labioscrotal fusion despite normal internal female anatomy and a 46,XX karyotype. This process does not affect 46,XY fetuses, as they are already programmed for male differentiation.	pharma::pharmacology_general_principles_hy_adverse_effects
Pharma	A 36-year-old man with HIV presents to the emergency department with severe, persistent upper abdominal pain that radiates to his back.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Didanosine</b><br><br>Didanosine causes pancreatitis.	pharma::general
Pharma	A 63-year-old man with newly diagnosed testicular cancer is started on combination chemotherapy that includes cisplatin, etoposide, and bleomycin.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Chronic alveolar inflammation with fibroblast proliferation and collagen deposition</b><br><br>Bleomycin causes pulmonary fibrosis.	pharma::pharmacology_general_principles_hy_adverse_effects
Pharma	A 42-year-old man is brought to the emergency department by his brother after suddenly collapsing while working on a rural farm.<br><br><b>What is the best answer/mechanism/drug?</b>	<b>Increased cholinergic activity</b><br><br>Organophosphate poisoning causes increased cholinergic activity by inhibiting acetylcholinesterase, leading to excessive stimulation of muscarinic and nicotinic receptors. Early recognition and treatment with atropine and pralidoxime are critical to prevent respiratory failure and death.	pharma::general
