QuestionID,TrapType,Description
54,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
55,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
56,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
57,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
58,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
59,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
60,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
61,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
62,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
63,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
64,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
65,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
66,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
67,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
68,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
69,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
70,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
71,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
72,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
73,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
74,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
75,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
76,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
77,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
78,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
79,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
80,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
81,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
82,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
83,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
84,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
85,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
86,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
87,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
88,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
89,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
90,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
91,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
92,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
93,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
94,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
95,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
96,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
97,reversed_logic,"Prompt requires selecting an exception or negation, which can invert otherwise familiar associations."
