qid,topic,correct_answer,common_trap
164,General,B. Decreased cholesterol secretion into bile,Image-driven/localization trap
165,General,B. Decreased urinary calcium,Image-driven/localization trap
166,General,A. Adverse effect of medication,Image-driven/localization trap
167,General,A. aPTT,Image-driven/localization trap
168,General,A. Less affected by disruptions in gut bacterial flora,Image-driven/localization trap
169,General,A. Gluconeogenesis,Image-driven/localization trap
170,General,C. Fibrate,Image-driven/localization trap
171,General,C. Disruption of oxidative phosphorylation and fatty acid β-oxidation,Image-driven/localization trap
172,General,D. Stimulation of alpha-1 receptors increases systemic vascular tone,Image-driven/localization trap
173,General,A. Glucagon-mediated increase in cAMP,Image-driven/localization trap
174,General,C. Macrolide antibiotic,Image-driven/localization trap
175,General,C. Invasive bacterial pneumonia,Image-driven/localization trap
176,General,D. Ketamine,Image-driven/localization trap
177,General,D. The trough level is insufficient to maintain bactericidal activity against this organism,Image-driven/localization trap
178,General,C. First-order kinetics are observed,Image-driven/localization trap
179,General,D. Inhibits endothelin-1 receptors,Image-driven/localization trap
180,General,D. Pulmonary fibrosis due to rheumatoid arthritis,Image-driven/localization trap
181,General,C. Valproic acid-induced hepatotoxicity,Image-driven/localization trap
182,General,B. Acute tubular necrosis,Image-driven/localization trap
183,General,E. Toxic epidermal necrolysis,Image-driven/localization trap
184,General,D. Epinephrine intramuscular injection,Image-driven/localization trap
185,General,A. Alendronate,Image-driven/localization trap
186,General,A. Acetaminophen,Image-driven/localization trap
187,General,A. Adverse effect of medication,Image-driven/localization trap
188,General,B. Methimazole,Image-driven/localization trap
189,General,D. Trimethoprim-sulfamethoxazole,Image-driven/localization trap
190,General,D. Monoamine oxidase,Image-driven/localization trap
191,General,D. Pulmonary fibrosis,Image-driven/localization trap
192,General,C. H₁ antagonism,Image-driven/localization trap
193,General,B. Granulocyte colony-stimulating factor,Image-driven/localization trap
194,General,B. Increases the refractory period of the atrioventricular (AV) node,Image-driven/localization trap
195,General,E. Terazosin,Image-driven/localization trap
196,General,A. Add finasteride to current therapy,Image-driven/localization trap
197,General,D. Phosphodiesterase-3 inhibitor,Image-driven/localization trap
198,General,A. Activates antithrombin III,Image-driven/localization trap
199,General,D. Oculogyric crisis,Image-driven/localization trap
200,General,B. Ethambutol,Image-driven/localization trap
201,General,A. Aldosterone receptor antagonist,Image-driven/localization trap
202,General,B. Inhibitor of acetylcholinesterase,Image-driven/localization trap
203,General,E. Apical Na⁺/K⁺/2Cl⁻ cotransporter in the thick ascending limb,Image-driven/localization trap
204,General,D. Inhibits DNA synthesis,Image-driven/localization trap
205,General,C. Administer intravenous naloxone,Image-driven/localization trap
206,General,D. Inhibition of RNA-dependent DNA polymerase by causing chain termination,Image-driven/localization trap
207,General,B. Direct inhibition of factor Xa,Image-driven/localization trap
208,General,B. Inhibits conversion of arachidonic acid to thromboxane A₂,Image-driven/localization trap
209,General,E. Theophylline toxicity,Image-driven/localization trap
210,General,B. Oral fluconazole,Image-driven/localization trap
211,General,"A. ↑ pH, ↔ HCO₃⁻, ↓ CO₂",Image-driven/localization trap
212,General,C. Binding of RNA polymerase to promoter regions,Image-driven/localization trap
213,General,B. Inhibition of cytochrome P450 enzymes,Image-driven/localization trap
214,General,B. Infectious mononucleosis,Image-driven/localization trap
215,General,A. Erythropoietin therapy,Image-driven/localization trap
216,General,D. Inhibits synaptobrevin,Image-driven/localization trap
217,General,C. Mupirocin,Image-driven/localization trap
218,General,C. Begin azithromycin empirically,Image-driven/localization trap
219,General,C. Squalene epoxidase,Image-driven/localization trap
220,General,E. Oral metronidazole,Image-driven/localization trap
221,General,D. Doxorubicin,Image-driven/localization trap
222,General,B. Administer cyproheptadine,Image-driven/localization trap
223,General,A. Adverse effect of fluoroquinolone,Image-driven/localization trap
224,General,B. Carbamazepine,Image-driven/localization trap
225,General,A. Isoniazid,Image-driven/localization trap
226,General,D. Pramipexole,Image-driven/localization trap
227,General,D. Medication adverse effect,Image-driven/localization trap
228,General,A. Donepezil,Image-driven/localization trap
229,General,B. Dapsone,Image-driven/localization trap
230,General,C. Methylene blue,Image-driven/localization trap
231,General,E. Selegiline,Image-driven/localization trap
232,General,E. Upregulating low-density lipoprotein receptors on hepatocytes,Image-driven/localization trap
233,General,E. Inhibits vitamin K epoxide reductase,Image-driven/localization trap
234,General,B. Allopurinol,Image-driven/localization trap
235,General,B. Anticholinergic delirium,Image-driven/localization trap
236,General,D. Interferes with vitamin K-dependent carboxylation of clotting factors,Image-driven/localization trap
237,General,A. Antithrombin III,Image-driven/localization trap
238,General,B. Bethanechol therapy,Image-driven/localization trap
239,General,D. Pelvic floor muscle exercises,Image-driven/localization trap
240,General,A. Add salmeterol to her current regimen,Image-driven/localization trap
241,General,D. Meloxicam,Image-driven/localization trap
242,General,B. Anticholinergic delirium,Image-driven/localization trap
243,General,B. Antagonist at cholinergic receptors,Image-driven/localization trap
244,General,F. Semaglutide,Image-driven/localization trap
245,General,D. Dopamine-2 (D2) receptor agonism,Image-driven/localization trap
246,General,A. Activation of nuclear gene transcription,Image-driven/localization trap
247,General,C. Granuloma maintenance,Image-driven/localization trap
248,General,D. Inhibition of acetylcholinesterase enzyme activity,Image-driven/localization trap
249,General,A. Diazepam,Image-driven/localization trap
250,General,"C. Binds 50S ribosomal subunit, 23S rRNA",Image-driven/localization trap
251,General,E. Prothrombin time,Image-driven/localization trap
252,General,D. Increased cAMP,Image-driven/localization trap
253,General,D. Phenytoin-induced folate deficiency,Image-driven/localization trap
254,General,D. Neisseria gonorrhoea,Image-driven/localization trap
255,General,A. Amikacin,Image-driven/localization trap
256,General,D. Loss of proximal tubular epithelial cells,Image-driven/localization trap
257,General,C. Metronidazole,Image-driven/localization trap
258,General,"A. Bone marrow, gut mucosa, and hair follicles",Image-driven/localization trap
259,General,C. Drug Y is a competitive antagonist of Drug X,Image-driven/localization trap
260,General,D. Inhibits peripheral dopa decarboxylase,Image-driven/localization trap
261,General,C. Competitively antagonizes nicotinic acetylcholine receptors at the motor endplate,Image-driven/localization trap
262,General,B. Roflumilast (PDE-4 inhibitor),Image-driven/localization trap
263,General,B. Adverse effect of medication,Image-driven/localization trap
264,General,A. Cytochrome P450 enzymes induction that gives rise to a hepatotoxic metabolite of acetaminophen,Image-driven/localization trap
265,General,B. Cytokine-mediated effects facilitated by medication,Image-driven/localization trap
266,General,C. Neutropenic fever,Image-driven/localization trap
267,General,D. Inhibits dihydrofolate reductase,Image-driven/localization trap
268,General,B. Decreased myocardial wall stress through venodilation,Image-driven/localization trap
269,General,C. Wearing gloves,Image-driven/localization trap
270,General,B. Inhibition of ADP P2Y12 receptor on platelets,Image-driven/localization trap
271,General,C. Converts plasminogen to plasmin,Image-driven/localization trap
272,General,B. Inhibits 5-lipoxygenase enzyme activity,Image-driven/localization trap
273,General,A. Binds the 30S ribosomal subunit and prevents aminoacyl-tRNA attachment,Image-driven/localization trap
274,General,B. Diclofenac,Image-driven/localization trap
275,General,B. Aspirin,Image-driven/localization trap
276,General,B. Diazepam,Image-driven/localization trap
277,General,B. Bradykinin and substance P accumulation in the respiratory tract,Image-driven/localization trap
278,General,"A. Directly inhibits factor IIa activity, preventing conversion of fibrinogen to fibrin",Image-driven/localization trap
279,General,D. Targets latent exoerythrocytic forms in the liver,Image-driven/localization trap
280,General,B. Delirium tremens,Image-driven/localization trap
281,General,A. Amphetamine intoxication,Image-driven/localization trap
282,General Principles,D. Ischemic necrosis due to impaired microvascular perfusion,Image-driven/localization trap
283,General Principles,E. Inhibits reuptake of serotonin,Image-driven/localization trap
284,General Principles,C. Increased cGMP,Image-driven/localization trap
285,General Principles,E. Somatostatin Physiol ogy (Mechanisms of action),Image-driven/localization trap
286,General Principles,A. Agonism of beta-2 adrenergic receptors,Image-driven/localization trap
287,General Principles,C. Inhibits thyroid peroxidase and 5'-deiodinase,Image-driven/localization trap
288,General Principles,D. Inhibits angiotensin-converting enzyme to reduce efferent arteriole resistance,Image-driven/localization trap
289,General Principles,"C. ↑ Renin, ↑ Angiotensin I, ↓ Angiotensin II, ↓ Aldosterone",Image-driven/localization trap
290,General Principles,"E. ↑ renin, ↑ angiotensin I, ↑ angiotensin II, ↑ aldosterone, ↑ K⁺ Physiol ogy (Mechanisms of action)",Image-driven/localization trap
291,General Principles,"B. ↑ Renin, ↑ Angiotensin I, ↓ Angiotensin II, ↓ Aldosterone",Image-driven/localization trap
292,General Principles,"C. ↑ Renin, ↑ Angiotensin I, ↑ Angiotensin II, ↓ Aldosterone",Image-driven/localization trap
293,General Principles,"C. ↑ Renin, ↑ Angiotensin I, ↑ Angiotensin II, ↑ Aldosterone, ↑ K⁺",Image-driven/localization trap
294,General Principles,"E. ↓ Serum Ca²⁺, ↑ Serum PO₄³⁻, ↓ Urinary Ca²⁺, ↓ PTH Physiol ogy (Mechanisms of action)",Image-driven/localization trap
295,General Principles,C. Blocks endothelin-1 receptors,Image-driven/localization trap
296,General Principles,D. Inhibition of HMG-CoA reductase,Image-driven/localization trap
297,General Principles,"C. ↓ LH, ↓ intra-testicular testosterone",Image-driven/localization trap
298,General Principles,B. Agonism at dopamine D2 receptors in the anterior pituitary,Image-driven/localization trap
299,General Principles,C. Enhances renal calcium reabsorption by increasing activity of the basolateral Na⁺/Ca²⁺ exchanger in the distal tubule,Image-driven/localization trap
300,General Principles,C. Increased distal potassium secretion due to enhanced aldosterone effect,Image-driven/localization trap
301,General Principles,"D. ↑ Urinary bicarbonate, ↑ urine pH, ↑ urinary volume",Image-driven/localization trap
302,General Principles,A. Administer acetazolamide,Image-driven/localization trap
303,General Principles,C. Progesterone withdrawal causes spiral artery constriction and endometrial necrosis,Image-driven/localization trap
304,General Principles,"A. ↑ Ejection fraction, ↑ heart rate, ↑ renal efferent arteriolar diameter, ↓ systemic vascular resistance",Image-driven/localization trap
305,General Principles,"C. ↓ Cardiac output, ↑ LV end-diastolic volume, ↑ systemic vascular resistance",Image-driven/localization trap
306,General Principles,"C. ↓ Cardiac output, ↑ heart rate, ↓ venous return",Image-driven/localization trap
307,General Principles,"A. ↓ Venous return, ↑ heart rate, ↓ cardiac output",Image-driven/localization trap
308,General Principles,"B. ↓ systemic vascular resistance, ↑ heart rate, ↑ left ventricular ejection fraction",Image-driven/localization trap
309,General Principles,D. Reassure the patient and continue nifedipine,Image-driven/localization trap
310,General Principles,E. Reduced constriction of systemic arterioles Physiol ogy (Mechanisms of action),Image-driven/localization trap
311,General Principles,C. Increased heart rate,Image-driven/localization trap
312,General Principles,C. Decreased systemic vascular resistance,Image-driven/localization trap
313,General Principles,C. Binds estrogen receptors in the hypothalamus and blocks negative feedback signaling,Image-driven/localization trap
314,General Principles,B. Prevents breakdown of cGMP,Image-driven/localization trap
315,General Principles,E. Saxagliptin,Image-driven/localization trap
316,General Principles,C. Norepinephrine,Image-driven/localization trap
317,General Principles,A. Arachidonic acid,Image-driven/localization trap
318,General Principles,D. Increased urine flow,Image-driven/localization trap
319,General Principles,D. Inducing osteoclast apoptosis,Image-driven/localization trap
320,General Principles,C. Na⁺/Cl⁻ symporter,Image-driven/localization trap
321,General Principles,A. Capillary permeability,Image-driven/localization trap
322,General Principles,A. Anti-cholinergic,Image-driven/localization trap
323,General Principles,A. Bromocriptine therapy,Image-driven/localization trap
324,General Principles,C. Pseudocholinesterase,Image-driven/localization trap
325,General Principles,"A. ↓ TSH, ↑ T3, ↓ T4, ↓ 131I uptake",Image-driven/localization trap
326,General Principles,"A. ↓ TSH, ↑ T3, ↑ T4, ↓ 131I uptake",Image-driven/localization trap
327,General Principles,C. Dilated canaliculi with bile plugs,Image-driven/localization trap
328,General Principles,A. Acute kidney injury,Image-driven/localization trap
329,General Principles,D. NSAID-induced hypoperfusion,Image-driven/localization trap
330,General Principles,B. Adrenal suppression from long-term corticosteroid use,Image-driven/localization trap
331,General Principles,C. Endometrial hyperplasia,Image-driven/localization trap
332,General Principles,"A. ↓ ACTH, ↓ cortisol",Image-driven/localization trap
333,General Principles,"C. ↔ PCT, ↓ JGA, ↓ MCD",Image-driven/localization trap
334,General Principles,"D. ↓ ACTH, ↓ Cortisol",Image-driven/localization trap
335,General Principles,"C. ↔ PCT, ↓ JGA, ↓ MCD",Image-driven/localization trap
336,General Principles,C. ↔ Urine volume; ↔ urine osmolality,Image-driven/localization trap
337,General Principles,"A. ↑ ADH, ↑ serum osmolality",Image-driven/localization trap
338,General Principles,D. Unopposed estrogen stimulation,Image-driven/localization trap
339,General Principles,B. Fetal renal hemodynamics,Image-driven/localization trap
340,General Principles,D. ,Image-driven/localization trap
341,General Principles,C. Begin lisinopril therapy,Image-driven/localization trap
342,General Principles,A. Discontinue lisinopril and start losartan,Image-driven/localization trap
343,General Principles,"A. ↓ serum Na⁺, ↓ serum osmolality, ↑ urine osmolality, ↑ urine specific gravity",Image-driven/localization trap
344,General Principles,A. Administer intravenous octreotide,Image-driven/localization trap
345,General Principles,B. Bosentan,Image-driven/localization trap
346,General Principles,B. Carbamazepine,Image-driven/localization trap
347,General Principles,C. Increased heart rate,Image-driven/localization trap
348,General Principles,D. Oxymetazoline,Image-driven/localization trap
349,General Principles,C. Check serum iron and ferritin,Image-driven/localization trap
350,General Principles,D. Raphe nuclei,Image-driven/localization trap
351,General Principles,D. Intentional ingestion of thyroid hormone supplements,Image-driven/localization trap
352,General Principles,D. Protein C deficiency,Image-driven/localization trap
